"PricingUCA.sum","PricingUCA","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Cost or Effort-Based","Other CB",,,,,,,,,,,,,,,,2099896,70000,,
"Cost or Effort-Based","T&M/LH/FPLOE",,,587151.83,205834,654230.56,811374.95,598755.3,400843.12,-4686.2531,69186.4,-48383.74,7413.09,-11964.79,290000,130396.11,,,22906.32,6000
"Crosscutting","UCA",,,,,,,136281.6,,,353204,,256482.18,,,,,,,
"Crosscutting",,,,,,,,,,,0,,0,,,0,,,0,
"Fixed-Price","FFP",914848.74,1295726.0031,1054398.4499,1408111.6,805167.72,950628.71,1490653.64,2056807.93,3475850.8433,3282278.5,2782068.2,2246072.273,4095795.2028,5235657.2948,5785869.4478,7035991.3454,12484764.2329,9405722.01,492081.36
"Fixed-Price","Other FP",,,,,,,,4674.18,4674.18,5500,4674.18,5000,,,76173.64,105220.86,164696.36,86370.74,
