"SimpleArea","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Products (All)",56417.02,31239.05,41049,48882.27,51177.79,129514.72,67168.63,276336.74,496603.1896,503924.32,36222.08,726.5502,324531.934,394555.3438,113757.32,55844.69,173592.8498,403986.47,119314.68
"R&D",,3321.2,58017,132005,0,7000,16076.17,3500,,258026.85,0,152669.5,,,225301.2031,650991.125,2661094.49,2600737.8,85548.44
"Services (Non-R&D)",858431.72,1222725.2731,1431558.8899,1394773.56,1408220.49,1625488.94,2142445.74,2182488.49,2979235.5806,2948217.73,2702136.56,2361571.4928,3759298.4788,5131101.951,5653380.6747,8534272.3904,9884773.2531,6510274.8,293218.24
"Unlabeled",,38440.48,110925.39,38284.77,,,,,,,,,,,,,,,
