"PlatformPortfolio","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Electronics, Comms, & Sensors",610937.69,377502.03,697678.2007,293662.97,504399.68,695563.88,1107852.7,1387469.35,1084599.2233,1512642.07,694848.85,522941.4206,1647083.3357,2908961.026,2028567.8378,1427931.92,3531362.5398,2718975.03,280732.15
"Facilities and Construction",67718.09,33430.22,82070.4398,177856.32,401053.97,237410,243863.98,228349.51,896963.5169,358336.41,344671.37,266329.35,369011.4902,98635.5488,233422.68,101749.541,735446.2533,1178515.42,0
"Other R&D and Knowledge Based",144667.96,707429.2731,743876.2494,1026141.54,431592.93,812384.08,796973.86,670329.89,1290779.05,1695668.3,1606838.42,1643696.7724,1979712.0869,2403060.72,3719848.68,7562063.0042,8267954.0596,5605843.07,211349.21
"Other Services",91525,138924,7000,78000,122351.7,16645.7,77000,176176.48,203496.98,143522.12,92000,82000,88023.5,115000,10600,149363.7402,184697.7402,11665.55,6000
"Unlabeled",,38440.48,110925.39,38284.77,,,,,,,,,,,,,,,
