"Vehicle.AwardTask","Vehicle.sum7","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Award","Definitive",,,,,,,,33722445,81195529.25,92273855.75,93904088.3694,65494423.9853,98986580.1094,89795423.63,94575100.8919,383092897.79,37718648.1492,91293209.5295,108759930.58,75866470.56,99353622.98,-208882.26,-1202475.76,-2349934.93,0
"Award","Pur. Order",,,,,,,36809,,241861.44,48301.04,33121.9693,,,,,,5989,,0,,,,145260,,
"Task Order","BOA or BPA",,,,,,,,,,,,0,92597760.48,92444564.54,9854693,116741476.8,79628122.1699,6166569.0898,8427755.57,0,-1089248.4551,-2344101.375,-22201.5508,-222669.2813,
"Task Order","FSS or GWAC",,,,,,,,,,,,,,,,,,,,,,,,7456.8098,
"Task Order","Multi-Awd.",,,,,0,37189369,123716265.4063,355054422.7838,248106336.3753,457264108.8657,501086517.0721,420824327.992,311531516.9545,295992257.8229,120470236.9995,53378067.0285,15890176.3829,14003308.8424,10976157.5659,10381520.2961,14410378.0609,5808401.6868,425350.7714,-18318.9499,-445814.86
"Task Order","Single-Awd.",3884335,9629741,134413201,34531914,16399741,21930254,35871668.125,42353393.75,38547234.625,233365107.2826,412574664.0821,328117733.8703,577147001.3478,213126609.62,417167419.7363,208064790.7205,178479386.019,45805439.5363,140398179.0157,28667934.5582,9439504.4414,2847254.0424,70124266.3282,125922008.5437,43362742.99
,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0
