"SimpleArea","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Products",3884335,9629741,134413201,34531914,7099591,22060352,59988301.5313,200988962.493,234821222.8068,490822324.7995,635172645.6615,484399410.4321,818208739.1847,427048072.1686,493093360.6319,603549841.4605,190030881.7112,4038446.6058,53534082.7699,29597880.455,5481141.2371,399491.8448,68808052.3,125026125.1038,43502362.1
"R&D",,,,,,,1117048,1206092.038,3067452.1922,10101587.0394,3375417.6722,3072640.4668,1582563.4001,263030.07,-2174.75,,,-80436.0899,,,,,,,
"Services",,,,,9300150,37059271,98519393,228935207.0028,130202286.6913,282027461.0994,369050328.1592,326964434.9487,260471556.3069,264047753.3743,148976264.7458,157727390.8785,121691440.0098,153310516.4821,215027939.9617,85318044.9593,116633115.7901,5703180.2494,662147.4888,-1687582.9115,-585433.97
