"PlatformPortfolio","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Aircraft",,35000,,26000,4759603.7096,1979699.9711,811133.0856,243511.1997,251139.3795,75932.0102,110632.6125,224389.271,254048.96,74918.11,47278.2,325941.31,308682.73,151222.35,207653.3598,89904.0101,483906.2,136531.1,701608.75,638948.29,1127256.97,12213.79
"Electronics, Comms, & Sensors",752041585.5951,1048847396.0167,1427011986.6656,1648101344.6655,1899866599.5401,1907514743.8575,1925362647.3885,2087991548.2841,2140557253.2035,2352855192.4036,2521688533.9425,2980698804.5109,3340885731.1037,3837483603.1928,4751503366.9402,4918470916.4708,5111217879.5551,5757814435.5947,6136983199.35,5946896762.8982,6266691923.1287,6708640605.8653,6924082324.8751,7261599501.9535,7372762698.08,2332451127.68
"Facilities and Construction",853183225.9868,829752055.5409,1405799493.4917,1066017151.2579,1363768582.0082,1535435378.7983,2707667895.5628,2473590625.8284,1572890535.3988,1508547691.3294,2545287332.2536,1705778581.9188,2150044477.9055,1797148939.7137,1739625222.7099,1897647312.3078,1999499885.5627,2385215682.4056,2115743803.5232,2492953298.79,3256487051.1971,2703198681.3652,3021720340.4382,3163060369.432,2635237781.64,385363253.83
"Land Vehicles",164000,23000,3497000,604096,1398401.38,1191167.4654,740097.3712,805735.4706,3363996.2908,4447598.9975,3449299.2253,2926707.9061,62528480.1749,39405120.7601,71551998.86,67992951.8552,83420907.85,41548915.8282,81350420.381,96222450.092,7418024.5476,-40244350.5219,5468220.4309,8621082.5584,9357238.06,1860053.1
"Ordnance and Missiles",410000,572000,16000,384628,560610.68,263084.06,120698.67,674413.6291,501793.5624,415476.8301,5963302.0606,32341572.5216,42042766.0305,36088387.9818,998687.1398,7235809.8568,10881498.75,3276776.682,3440441.9552,8359013.8082,1320167.6595,1452398.1399,1566910.1484,1127042.6165,782627.29,338307.13
"Other Products",137546047.66,242931352.6316,425734646.7413,458854505.8892,330474787.2378,1319840456.7297,2177566428.4449,3850310982.3738,3580666294.0319,6881985032.0211,4761444853.3116,5300296431.8839,4538271725.452,4618930282.5115,4410511259.5632,4603952525.1156,5436108138.53,5513828239.4081,5193359568.9043,5634448802.8005,12376679393.2799,6388275066.4968,6452881252.4404,7919359437.0468,8940784239.21,2911364163.13
"Other R&D and Knowledge Based",2075251578.7891,2612057654.2862,3148894389.0626,3702498807.5953,4101886956.575,4368882972.758,4424981516.2422,5034215871.5976,5481013302.7075,7205245229.6334,7644274917.0212,7300675856.7866,7003555144.667,8109535052.3212,8036581426.0092,8351597729.3302,8950929619.78,8952024069.3655,8849592704.7297,9417474784.0647,15222521493.1388,16086053904.7175,15920770751.9733,17143160823.2959,14949459403.24,2968338197.57
"Other Services",496767845.0236,414976105.1959,403914929.5896,696859251.5518,743656675.0152,984981177.6579,1425365541.0693,846541995.2369,1364230138.4308,1867218094.3324,1631828201.2638,2403568473.8665,2145513545.8774,1880535294.2182,3026804353.7131,2298226239.7442,2515311751.14,2262698533.4073,2283415253.656,2902981638.65,3571007689.8199,6978571127.7068,6556955325.6963,2998254585.0225,2840428368.73,820475774.27
"Ships & Submarines",,,112000,183638,83835.3398,70696.44,76881.1301,18669.3496,170908.4404,219183.6804,117589.6506,65404,234583.4394,196067.5498,4192841.42,9059098.7794,16074383.5,6319060.3997,305915.1001,64674.86,471078.7306,894799.1692,913624.7688,2058478.95,2340480.7,36595.63
"Space Systems",,,,45600,,322.5,5293362.03,465514.88,42750,-16450,83333.2798,-18711.7598,0,136095.69,114201.77,,,,,52000,,,15206.79,,,
"Unlabeled",36650883.0543,226179567.0282,257681371.2062,263871300.4063,114774102.8974,122090467.7444,83852961.1699,67994802.903,18211255.9162,7054289.29,3552195.9663,1112651.4675,-2313647.96,-5644971.18,-18344.67,-1353626.25,-2670091.17,-101389.6491,-195.4,-405315.74,,,2974042.1866,3036324.5,4919098.56,4319844.75
