"Shiny.VendorSize","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Big Five",1407676000,2245486290,763573559,734996632,941061864,1176359374,2289854016,2726006781,3842262769,3251936789,2655875201,3383373264,8575025207.9004,7387264147,9169925094.2097,9548112377.9512,11145014190.3086,11367441513.5479,12364377562.3051,13550310304.7663,9208945488.0464,17384493122.8107,8264857772.1964,7668159189.0278,10412174861.1798,8329421891.6279,10007342791.206,9357613927.7748,9935838219.2756,11018241316.4808,18128892489.7952,11332843810.4368,13072301145.1069,14786119740.4701
"Large",3556445000,3842230355,4266713610,3731336093,3276553686,2411400931,2715703119,2133825457,1964664471,2341353224,4142653942,1383781232,1665980669,2523112929.9302,3160491177.4881,1939587859.0881,2973069471.0946,2957402551.2713,4053323920.5966,3874644411.5182,3973538679.2365,5355308982.8877,10559383704.9657,10794065731.8128,8699536728.8487,8282286340.6155,9203670111.1527,12135097466.1006,12599387308.4118,12503675685.2475,13605966126.9655,12230656023.2838,11128487215.9883,13989850176.573
"Medium",4058511493,2099496793,2207714938,3907960996,2257824099,5069532434,2080828491,2570677803,2795834673,1896577093,1534784898,6617670283,1334047595,1229953511.1204,1166860806.4699,1273573193.6226,1051703561.712,1114534953.1236,1196949167.6355,1804353769.9615,1698673771.3325,2957915061.7703,2325572674.9189,2274901378.0502,2194564440.0899,2224486299.6492,2524577941.8118,2320006963.1724,3378283048.0489,3801154318.0848,2261882110.1405,2651273622.2412,1929977100.6654,2115365599.8097
"Small",1598684000,1220900028,1194221481,1024033084,849244434,946913848,845752188,900843876,756713733,830027295,1022507722,1019252185,1117799529.0298,1532294301,1345297631.0503,1274081432.4631,1647369541.2468,1768073610.382,1716236412.9086,2244001170.0014,2670477389.1045,2683407977.9509,2670077184.0589,2416274244.5301,2519524915.1904,2647001676.2775,2915173300.6223,3406361722.3799,5400635034.7484,5992720042.436,6087383526.0567,5777807579.2699,6612269437.7211,8218689901.6751
"Unlabeled",59341000,104657246,167858438,104443667,64342563,50150153,37490534,9167725,9757587,237626,,250324,2698337,14164,247006,5083369,2047153.6937,46023603.0839,22803434.8398,29052462.7618,8804475.3547,7518615.8737,1319812.0679,2083677.76,1335155.6707,846824.7,1434727.5827,1447325.5257,639423.2727,485757.0566,531644.7645,3249212.7869,1650571382.0895,970936565.4291
