"SimpleArea","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Products",6546714000,6476365096,5042860266,6618143070,4406458273,6404497166,4969921341,5075056453,5006150547,5177192817,5618916525,6760293102,7001486958.9004,7557297526.9402,10006134216.3896,8814140001.413,10959037896.0552,10779960255.4146,13082411620.942,15825271931.1521,12804722487.8094,23499160282.5364,19695573866.2723,18952546892.8411,19508620479.4386,17517052468.8142,20462178980.9282,22576178739.5669,25018500170.6224,27625336927.0394,34536596052.5991,27016476073.1046,29956422270.1608,35154646443.8665
"R&D",643253000,638521944,611055856,766672701,908887027,995780647,1195348447,1026658808,1432211747,1042775605,1008444053,1906171377,2001092067,1824674470,1458086705,2415231888,2934614924.6974,2739527199.0921,2624787607.4692,2027703771.8648,1249340329.182,708613223.2008,399368151.3318,353948001.8156,206081249.1376,198192456.975,299137709.4342,647005937.1405,729664256.5917,707000302.1684,434750595.4227,83811091.9775,51726646.0201,45510561.4512
"Services",3490690493,2397883672,2946165904,2117954701,2073681346,2254078927,1804358560,2238806381,2930870939,2100163605,2728461185,3737862809,3692972312.0298,3290667056.1104,3378600793.8284,2811066342.712,2925551097.3031,3733988776.902,3646491269.8744,3649386415.9923,3506376986.0832,4180870255.5561,3726269130.6037,3848989326.5242,4112434372.4033,3768798107.0809,3890882182.0131,3997342728.246,5566618606.5433,4983939890.0979,5113309249.7006,4895543082.9365,4385457365.3903,4880804978.6393
,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
