"SubCustomer.JPO","SubCustomer.sum","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Air Force","Air Force",17039000,7973000,7960480,8852351,10847718,8960308,4793648,2219646,7127453,2075384,4027864,17858716,16735278,141113735,62486459,87201065,41866388.63,7983287.811,19071299.4795,16126535.0196,12870923.2601,13858081.4879,15737768.1748,11142180.3772,12929291.4684,16943747.3336,26690886.1924,21273496.7919,19979049.5992,22462481.7846,17992591.4104,17490848.1363,18381735.4827,83984992.5968
"Army","Army",96186000,68376000,175234855,112857959,81168656,81192972,99381537,91740151,108464442,112139922,65831080,107493408,140421826,171196518,143866947,223091196.7793,239646309.3616,218840887.5475,335604048.2269,395633871.5999,343451927.834,209898600.843,281926353.7913,220104794.2794,181749946.6075,179503548.9968,285322500.184,234856887.9536,264015390.0748,259967124.4401,313032176.9971,320109645.4531,316069782.552,615280253.642
"DLA","Other DoD",46812000,115552000,71009946,62557418,64797909,67961207,71446930,58148939,63720593,52534494,62388968,76420916,111124824,125805033,160196579,213782631,299197006,363504319.1399,380544997,627653328.9763,1091902382.9893,1209071842.1636,1448155299.3446,1460505616.6566,1510300242.1517,1776620314.3115,2007131448.2628,2607604706.6183,4431054620.7494,4875869980.7125,4494860880.0305,4060880585.8585,4732172032.3477,6033463738.4328
"Navy","Navy",10520620493,9320688712,8345021661,9304538210,7230097983,9472779438,7760321717,8145222291,9124159956,8121958513,9152428657,12161819588,12393898428.9302,12213194877.0506,14456188433.2678,13481692276.8457,16213340093.5954,16605997153.9694,18517404724.2154,20342946077.529,15965862658.6105,26807822291.9802,21907510108.3287,21359935934.5991,21998883675.8615,19398334122.8189,22212281675.4995,24220767587.6053,26473609050.6497,28055039498.4353,35165328603.8896,27558661833.0765,29304062351.3169,33306316647.1026
"Other DoD","Other DoD",,181000,855084,13964534,2114380,23462815,33684516,43190615,65760789,31423714,71145194,40734660,33370981,21328890,20083296.9502,34671062.5,25154120.4687,57150582.9409,101065429.3638,120002305.8844,146351910.3807,147992944.8186,167881618.5684,103795695.2686,123272944.8904,112641299.4093,120772362.2368,136024725.9843,126124922.6843,102938033.9332,93441645.3948,38687335.4942,22920379.8719,41916352.1828
