Year,Global Vendor Name,Number of Actions,Dollars Obligated,%Total Actions,%Total Dollars
2016,LOCKHEED MARTIN CORPORATION,136366,36156153439.27,0.00987341000456216,0.1212632708753871
2016,THE BOEING COMPANY,13589,24349848777.87,9.838945818752122e-4,0.08166638392784684
2016,RAYTHEON COMPANY,11128,12768553983.32,8.057089489371817e-4,0.04282415226960044
2016,GENERAL DYNAMICS CORPORATION,24650,12718512462.06,0.001784752479448376,0.04265631919084774
2016,NORTHROP GRUMMAN CORPORATION,10476,10771630702.25,7.585017028276344e-4,0.036126718341611026
2016,UNITED TECHNOLOGIES CORPORATION,22434,6527205957.21,0.0016243057656772767,0.02189144222374385
2016,BAE SYSTEMS PLC,10930,5056204997.68,7.913730061002333e-4,0.016957886774792246
2016,L-3 COMMUNICATIONS HOLDINGS  INC.,7238,4740179811.71,5.240583548173365e-4,0.01589797735179201
2016,HUNTINGTON INGALLS INDUSTRIES  INC.,2780,4433710954.65,2.012824297308919e-4,0.014870118675095138
2016,HUMANA INC.,247,3600321666.22,1.788372667033464e-5,0.012075033982325518
2016,BECHTEL GROUP  INC.,102,3027224891.69,7.385182673579488e-6,0.010152938217233391
2016,UNITEDHEALTH GROUP INCORPORATED,240,2889170216.44,1.7376900408422322e-5,0.009689919895647455
2016,MCKESSON CORPORATION,47343,2709635573.84,0.0034278108168164087,0.00908778288918499
2016,HEALTH NET  INC.,163,2606211449.9,1.1801811527386827e-5,0.008740911157449164
2016,BELL BOEING JOINT PROJECT OFFICE,3967,2281497528.55,2.872256830008806e-4,0.007651860789637991
2016,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,84154,2169224733.31,0.006093065320709884,0.007275311707778583
2016,AMERISOURCEBERGEN CORPORATION,306695,2114826202.18,0.022205868628171185,0.007092865756310867
2016,TEXTRON INC.,4529,1944274905.44,3.279165914572696e-4,0.006520857781804696
2016,HARRIS CORPORATION,5128,1839561576.57,3.7128643872662363e-4,0.006169662216038707
2016,GENERAL ATOMIC TECHNOLOGIES CORPORATION,913,1795173710.95,6.610462530370659e-5,0.0060207907996890865
2016,BOOZ ALLEN HAMILTON HOLDING CORPORATION,3454,1779209292.74,2.5008255837787795e-4,0.005967248113711198
2016,GENERAL ELECTRIC COMPANY,4202,1724057375.18,3.0424056465079417e-4,0.005782275397252057
2016,UNITED LAUNCH ALLIANCE  L.L.C.,55,1539748257.45,3.9822063435967826e-6,0.005164125391178074
2016,"LEIDOS HOLDING, INC.",3481,1535064603.75,2.5203745967382547e-4,0.005148416995420113
2016,OSHKOSH CORPORATION,23838,1438158120.12,0.0017259606330665472,0.0048234046239093
2016,CACI INTERNATIONAL INC,2360,1398041255.83,1.7087285401615285e-4,0.004688857618259475
2016,ALLIANT TECHSYSTEMS INC.,1161,1340421553.88,8.406075572574299e-5,0.004495608257896572
2016,AECOM,3210,1285306292.22,2.3241604296264857e-4,0.004310758480796518
2016,HONEYWELL INTERNATIONAL INC.,8310,1236675461.3,6.01675176641623e-4,0.004147656683127352
2016,ATLANTIC DIVING SUPPLY  INC.,32592,1215861537.8,0.0023597830754637514,0.004077849355652667
