"Shiny.VendorSize","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Big Five",1432975000,2873347000,1681217544,2589136106,2314521002,1705078056,1909163887,2762269589,2240706687,2417392837,1956089394,2333167521,3684949864,3859708035.5938,4701775050.5,4989676208.4375,5349510640.2774,6454278531.9266,6842656824.9687,8782040594.9943,9044332642.7514,9518788736.0017,9753797077.6346,9435215707.1776,6915351196.4803,7753678427.5827,8246446764.1197,6744481998.578,11226960692.4651,12636733508.8779,17092189454.2241,9822494446.2365,,
"Large",1017171000,1181414006,1039353460,1248675104,892313975,961250693,945542939,624096603,701362390,642641793,542180671,475271278,474854089.625,474248296.5,509169915.8438,658697179,606685920.5938,849038487.1386,630781331.9479,551301821.6089,460507744.1652,376206571.7946,372595687.0724,405092566.7254,447099360.8152,675576535.9282,678267402.8444,697770536.0834,972267599.7899,754993809.4825,782798380.7414,815172703.9814,,
"Medium",430527000,816080176,733016996,622544824,666168878,401957849,458796338,290295638,295672531,308132629,197472848,270730505,260232628,341207098,356662742.1875,412487724,346680124.035,492563818.5525,683005871.9599,529951233.7209,439864141.9574,417438319.6548,505260857.5506,485897392.8519,633466998.5488,433630077.6578,485988121.3176,475591623.1785,589542434.2768,633531583.9358,640836882.0949,590682027.3981,12872654015.4419,5934742828.7666
"Small",135475000,320155321,452878678,495842653,390585414,407748411,386123487,335372176,362426141,297296805,305296204,285090413,306554363.2031,361268694,425017740.0547,431828609.7188,459227409.8526,512336926.6142,605296907.0273,636376103.4555,597952227.7745,597897248.1941,575767776.7386,480865479.6875,520540181.5498,516501410.4043,575139369.8185,715365976.4962,638272946.3497,803722956.7674,853150855.1613,869191227.2421,944636514.2644,476022892.0535
"Unlabeled",19186000,15018780,12087914,35220024,25704388,10321398,15998245,426455,2535454,78887,,31799.3999,,,,17973,1123841.5699,,,,,,,866040,0,0,,,,98917.8603,77045.2216,,,
