"TopPStext","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"DEFENSE AIRCRAFT
(ADVANCED)",,,4173553,4e+05,,,,,,,,,,,,,,,,,,1093651230.711,1701417336.4368,2429633007.1796
"ENGINEERING AND
TECHNICAL SERVICES",29240519,23162931,31022431.625,46512850.0938,64762680.625,69130735,73899778,91048684.3008,126885324.8677,450004841.8146,408071489.6936,367861524.2549,338591341.8207,367632624.444,392688090.0725,593408744.9265,584532069.0037,607204658.601,354191599.3217,416897047.5486,435480807.9591,471413463.3117,438100054.5282,341745389.8829
"GUIDED MISSILE
COMPONENTS",245772505,174269410,205735267,94129908,41565670,18273089,32504898,30298833.4273,32189164.0587,5984849.0361,70661550.4194,58893158.8223,1313262531.1621,1256601691.829,1481316539.88,2580612139.2388,3171246397.4918,1251317731.0858,2211655419.0955,1268628496.6104,1141553263.8143,1670322281.4387,670358847.8584,207364832.3165
"GUIDED MISSILES",55243619,854853268,2229501652,2187893126,3125257508,3219628892,2643693648.0313,2898776527.2031,2512739798,2728453114.6749,2608322366.3642,3774784542.0263,3159027893.4141,4073147651.27,1892898053.24,1140875227.965,1522893885.2656,1975306847.2741,4932975573.0875,7011190256.8333,9328269716.036,2604954892.7667,6112487564.4665,4195477484
"OTHER DEFENSE
(ADVANCED)",1366578826,746128800,266055984,351867178,281642263,281583912.4375,237742018.16,236455146.0937,239077453.2018,231034999.306,203730576.9878,132479149.899,268243659.9672,247292545.2222,123170960.3569,106266065.9291,101183225.9727,98338698.1009,24035697.8709,926604.2784,5354912.1682,-1004418.3271,-1703804.7628,-71333.2393
"Other Labeled PSC",358996570,431146476,527827027.2031,808683640,736653292.961,885105378.7188,1522829360.5675,1786049238.9726,2787044647.1126,3337298816.9332,3707159892.6267,3869417092.6491,3559345551.4533,3087883330.0871,2580586216.4234,3360811984.7627,2760277761.744,2584712971.9934,3658806626.0188,3493984080.8754,3342186413.5859,3690143051.1163,2834054110.4499,1306383679.1148
"R&D- DEFENSE
SYSTEM:
MISSILE/SPACE
SYSTEMS (ADVANCED
DEVELOPMENT)",921199181,1077964592.3999,1408524854,1457413048,1413890031,1599135686,1737505452.5699,2047204030.2188,2090276569.9754,1884737316.4472,1440391698.5879,1151392816.2757,1322456617.2808,648598937.5738,569805574.2521,567674046.7933,440949304.9665,467391034.2478,741393563.2313,1128376370.1317,1047942788.3696,1090034376.0168,805573696.8715,496342828.2196
"R&D- DEFENSE
SYSTEM:
MISSILE/SPACE
SYSTEMS (APPLIED
RESEARCH/EXPLORATORY
DEVELOPMENT)",1640212,1569889,2303676,12266800,10127954,15604451,60050246,234581086,292308913.7813,458421807.9146,592889584.0175,398595500.3496,428003335.5458,524182865.5755,654060293.1988,612399773.1611,664494049.3307,750236295.8237,308355583.8733,199374868.8295,162012499.6379,50069508.373,38199669.732,816927.8721
"R&D- DEFENSE
SYSTEM:
MISSILE/SPACE
SYSTEMS
(ENGINEERING
DEVELOPMENT)",2067392,28513825,29518994,69554920,141453391,246019432,235940110,502824532.1094,484196503.75,1069630336.6412,1256922792.5608,949726289.2863,582485591.3366,380801769.9108,615303843.9704,211873118.9452,285952151.7002,571298227.0219,618758994.1012,667790795.7529,559563225.3645,789115253.7751,585910085.2194,352109675.1133
"RADAR EQUIPMENT,
EXCEPT AIRBORNE",20300293,26682325,21927506,7710654,177272658,158226118,219062425,480979685.9062,197022561.1563,334103671.0118,254506805.3906,207180802.082,236004877.0156,221795770.53,206628166,205465349.8513,454312812.625,327403670.1875,576870616.2813,641912256.0637,3346688990.5078,638840765.6759,632892968.9064,245918915
