"Vehicle.AwardTask","Vehicle.sum7","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Award","Definitive",,,,,,,,,,,2558900794,2885845820,4040456662.2031,4079977686,5018785990.1563,5274788848.7188,5257498575.1915,6177213235.1166,6224315728.5161,7067817596.8509,6615447768.5775,6594771286.0772,7534709642.0676,7863139729.8713,5373713082.9504,6543780031.0753,7232656502.986,6332266870.3337,10826353400.0477,12037395074.6029,16698966232.4039,9120552741.7392,10498698100.2625,4581855050.4325
"Award","Pur. Order",,,,,,,,,,,9359901,11458401.3999,23739693,29914621,18301071,6057948,4146965.9137,7456999.7012,47945902.742,41328318.6303,3427622.5218,6315344.7673,4012111.4833,4288752.86,4201257.22,3767931.089,2381826.8378,2482831.5998,4097839.9511,1926730.4835,1377345.1151,1509319.8941,298037.9588,-4860
"Task Order","BOA or BPA",,,,,,,,,,,-86835,1373875,-295030,,,,,,,,344518.3672,24755231.0312,118987300.2111,144054186.9,218073741.68,220320527.2748,323336359.1307,252881989.0787,244734668.0503,244615993.1658,211126717.7843,190252182.1247,159594051.9701,83390133.8195
"Task Order","FSS or GWAC",,,,,,,,,,,7929210,10924355,34224659.625,62708598.0938,109468386.4297,153172589,211604886.8945,320827792.9358,319670621.9295,326292080.046,270530588.6533,160941783.793,51592311.8886,38543213.7133,31011468.32,32489557.5681,36531996.5104,37254817.9215,27216215.4048,54015585.171,57856220.8699,39535987.7044,42936239.6834,19902650.1548
"Task Order","Multi-Awd.",,,,,,,,,,,182377265,207968974,257477721,297026783,280436648,296197183,321230171,334779639.6993,620599460.0895,662791273.8364,845313610.9294,960717893.5084,1428591517.8023,878667396.6901,864387280.1527,736477819.9313,486928011.559,148502404.0303,132728406.8579,286887474.3502,306678039.9971,331125903.669,342250714.6995,235580620.3642
"Task Order","Single-Awd.",,,,,,,,,,,236607674,241150872,365004941,567029827,565824399,762477556.4375,968747337.329,1467940096.779,1549209222.6267,2401440484.416,2796841636.3411,3155589856.3139,2070025279.9031,1878146025.8377,2023400318.501,1839877775.0993,1904006961.0763,1858927122.2117,2191913142.5697,2204239919.1505,2093048061.273,2414564269.7267,2773513385.132,1490042126.0491
"Task Order","Unlbd. IDV",,,,,,,,,,,5951108,5569219,5982298,-225391,-191046,13569,,,,0,10751011.2582,7239480.1542,-496764.3598,1097880.57,1670588.57,2672809.5352,,894099.1604,,,,,,
,,3035334000,5206015283,3918554592,4991418711,4289293657,3486356407,3715624896,4012460461,3602703203,3665542951,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0
