"TopProject","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"BALLISTIC MISSILE DEFENSE",1723313820,1144225016,616761921,624608748,1482867,,,,-232087.9468,-738466.3701,-1307972.8354,-995751.6123,,,,,,0,-86754.8106,0,0,0,0,0
"BMDS",,,,,89724927,244783962,270902157.4219,448850784.125,435022488.6299,425997768.1564,258866860.6211,263393207.0523,493982433.0777,417122703.3063,628060221.5797,570446795.6054,606250561.8626,548339567.3518,691883896.4739,720931920.8941,643919640.7736,695703467.4951,551993804.1368,376895553.2932
"LTAMDS",,,,,,,,,,,,,,,,,,,,3558108891.4062,4555860339.8096,1193925604.9232,1918911399.4134,3233787953.6642
"MISSILE DEFENSE AGENCY SU",293472820,1104343146.3999,2627524408.8281,2983186586.0938,4455972289.586,4902729309.1563,4487226755.394,5636680902.7984,5827414394.0719,5278493209.1992,5134824130.9691,5072049489.9168,6412980606.3249,7378691004.6217,5574708066.684,4234648142.4837,6075253984.317,5113479977.5101,7582946923.7005,8027187255.4746,11487518565.0383,7761768593.9455,8172176497.1852,4601381789.7637
"Other Labeled Project",234762930,224579720,196975205,238864110,702517519,619036299,1161950679.5128,1249756729.4089,876584945.6646,1176334973.0375,1232266065.0893,1473322498.8389,1141297246.4773,807238828.72,610798776.5,809124900.3215,1051140259.346,1224312126.4158,1087685022.2122,997937687.5569,1634669242.0624,1023786628.709,1302096696.3975,538454798.5845
"PAC-3 MSE",,,,,,,,,,,,,,,428167663.37,1830588298,1826374230.0419,84766828.588,59738487.6095,229141613.7293,201097906.5165,161915560.1566,223277735.9279,217864538.3452
"PATRIOT",,,,,-7664,0,545590,339186911.8996,774593630.2636,2411545050.5789,3093567124.9184,3543625368.9727,2391815511.2453,2089190450.0281,1167891356.23,695863642.4823,333641882.2051,52715937.5805,-28843688.2066,-36491160.0334,-6306976.0216,-4956354.6856,-9795723.5255,-5983423.5178
"PATRIOT MISSILE SYS",322095962,278027383,487785275,405421716,40823030,8952204,12455629,-5148788,312441,-709288.8658,-12689917.0663,-4571609.0866,,-552997.72,-27254,,1244282.9375,,89637.0078,,,,0,
"PATRIOT/MEADS",,,,,,,,,,,1996697.7266,,639495.0625,9727091.9453,37489754.3204,1178125193.6519,43880785.7099,1575506147.7566,3902237456.5622,1126825152.759,615142410.2882,514656179.2428,153662063.9002,6526270.2891
"THAAD-THEATER HIGH ALT AI",427393585,567514850,770886872,734893178,611745524,638010178,791223990,580520560,403608313,416757371,287211640.2656,147373827.0645,54587040.4375,27174261.37,-6735766.88,-534233.07,-1062385.625,-1667161.625,-5996201.8437,-633691.625,-776000,,,
,0,45601401,26657263,49457786,90366956,79195742,38923135,58370664,444436811.2206,791989137.0435,547922126.9601,416133844.4989,712119066.371,79345844.171,76104919.59,61123712.0982,49118057.3052,35756710.7583,137388894.1763,206073106.7622,237927488.9763,750740725.0715,1504968056.2708,606793925.0374
