"PricingUCA.sumlong","PricingUCA","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Incentive","Incentive",,,,,,,,37607939,33436467,17546909,34540739,175750668,265505426,136993508,49636908,172858767,116115807,138330862.16,262939971.3675,417836164.93,1161486370.1515,1438078330.2172,1477921987.5472,3944824746.52,2586115385.23,4092221938.26,3412118108.7306,1356936330.7396,9194739724.7792,9753417157.7155,7338610707.7273,7259955604.8145,8318967058.2984,5576575597.6423,6331853418.8,1784939403.73
,"Combination/Other",,,,,,,,,,,,,,8050613,69113097,117706104,236927162.5508,1673143153.6878,3355844226.8011,2309458964.6827,6685018.014,2689783.0686,-730085.4561,-1703738.82,-1213561.52,188650,,,,,,,,,,
,"FFP",,,,,,,224000,374600569,436820355,183441551,489411716,544755059,914653190,993197453.0938,1217795713.6484,965092742.3175,1847671415.1752,1883282707.3331,2567024362.8427,3912078615.1837,4696653359.7695,4440174910.3155,3266410245.1392,2018835499.4895,1494690109.303,2062034025.6424,3161644042.4993,759575891.5113,628231451.1567,380755558.6035,6545797994.3935,1395269922.3552,2264448067.3559,4264576361.2496,766317305.72,979784591.01
,"Other CB",74831000,68100000,1661000,,,,9867000,490753137,623236482,429079233.63,2258472035,2227778718,3165389940,3318772311,3958902160.15,4589192937.7,4197609391.74,4571770918.1769,2616277782.6635,3521011420.5948,4357976569.7752,3950897292.2757,4343319145.542,3668028035.3616,3971843078.6123,3469738024.3226,2613901831.1015,3242781255.3691,3033285326.638,3551508970.8017,4703697747.6719,3396055436.7862,3171290139.9578,3418279083.8942,3577737112.74,1644369125.82
,"Other FP",,,,,,,304000,0,49621767,4278472,131404608,151596110,37819385,21860548,5204924,2071089,3858379,99989,21977975.17,384624.5938,10385411.1602,9849413.3302,2192612,3724361,-20.89,-22.54,,,0,,,,,,,
,"T&M/LH/FPLOE",,,,,,,,33535872,18436584,30943213,155472987,178015501,208249651.825,251466396,261601277.5938,303921923,363259346.7657,258448775.8967,249640954.3308,400302275.1096,592848483.5892,503940646.1008,484366937.5465,398255647.0139,189869901.1531,313780988.2443,207913063.4683,285904919.2223,8390149.2976,2014404.0289,-78349.072,-412285.4933,-10049869.9713,-5192591.6596,-7258383.52,0
,"UCA",,,,,,,,238872658,111353373,161293690,174918331,718812210,1017511382,1050564122,1243708582,1071078896,1366468336,1070271076.93,1140354853.96,1623627975.3848,1584843134.1315,1737118731.3511,3103147699.3477,2066267022.6603,1052899407.1702,739784322.85,1579544248.0312,3188050840.7263,1891091592.2449,1394209716.9894,1790084817.1447,1425416911.5714,1291234231.9193,634523347.8842,3358329920.29,1579025447.39
,,4418278000,6715280054,5438989317,6509522213,5223252139,4527970932,4779883768,5047642226,4791893128,4353113384,468772733,13227622.4,33745366,44846027,44920591.1875,20064220,6023112.3487,3367986.4114,143384196.9518,63319665.0751,0,-55989.7188,-61893.9883,1510164.9334,-710165.5508,-1869898.475,313029.3438,0,0,0,0,0,0,0,0,0
