"SubCustomer.JPO","SubCustomer.sum","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Air Force","Air Force",1115655000,1856254000,1174474880,1568028954,1363717424,996995349,1013765798,1066163633,856496514,615289977,365671303,372557428,493699839,385294281,284076604,406527737,514368923.2969,597273208.8856,626681983.8943,995195105.7429,776620018.2946,692588786.6646,669537970.6962,634651794.3,248363932.03,1156908715.17,1048003514.4983,199326729.9779,1465823877.6687,442464629.1049,1278036656.8173,1495956974.8826,1308585792.3237,1360798527.3256,1478977209.95,108744592.04
"Army","Army",1120025000,2981127000,2223992743,2959858750,2358517153,2017408518,2230964453,3073986159,2877613852,2379267979,1354702863,1490995427.4,2090283132,1997872448,1838114930,1722646752,2393886882.91,2049531599.6261,2640295511.5117,3865414824.9638,4406562411.1806,4606138568.5741,3991826385.0534,2793951304.9646,2251323747.6617,4456914414.9631,2917984105.9196,2710491353.1743,4667739676.9956,5397572682.8034,5899425613.3359,2417855774.7764,3326330296.493,4930294728.3096,3612203476.75,1259163144.43
"DLA","Other DoD",,2928000,5067810,1907682,,,,,,,601127,1886957,2291396,39045,0,,,,,18069560.8305,34796704.5093,61753314.1957,42583975.1672,15405066.44,19458021.21,19904780.16,20195001.0637,25436188.2019,82680492.1639,63555238.6255,8978308.1457,-67114.7813,-273230,0,227098.22,
"MDA","Other DoD",74831000,68100000,1661000,,343747860,251594273,310476090,431242526,747389215,945575248.63,1373879916,1673010916,2485964875.825,2671495076.0938,3382922964.5797,3841746261.1375,3492627141.4845,4929029621.6667,5760262873.5729,5673422751.5254,5356951769.0357,5382146529.484,6877002431.1045,7706159819.8678,6050847486.8864,4690777698.051,6589241607.8602,5412284919.1813,8292286171.334,8818804834.6125,12327842101.7369,8817318506.7272,9841769591.9764,7078919042.8608,8459332539.52,4080439773.84
"Navy","Navy",1537947000,1178364054,1143131913,1324178812,1155397737,1261613903,1232932704,1648126889,1581953225,1234527060,617147940,471485160,570635098,771050128,1345768755,1270847130.88,1737043845.889,2022881039.4175,1330949888.1085,1697050135.4344,1868717023.9371,1356142160.6198,1107691777.9459,956347031.4801,749167838.79,361203711.3748,404292864.7068,490110729.6058,256267426.8102,369502208.8166,869546370.9401,748629966.05,555417311.4,518221151.2745,481613754.4,537347628.09
"Other DoD","Other DoD",644651000,696607000,892321971,655548015,1871965,358889,2139723,3493194,1345350,5036188,990000,,,,,218798,6157,,-745933,-1132672.9425,-32769580.3662,-16076242.5979,-12075892.289,-6773278.8938,-25666893.0703,-9831291.4146,-4282770.8739,-4400682.5726,-9059400.856,-9993785.8239,-5716133.1105,-3408517.6209,4059865.367,528349.2402,-5374704.81,2423429.55
