"SimpleArea","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Products (All)",2528105000,3818241106,2162582682,3175655494,2130227136,1880260328,2088331724,3044633343,2729409572,2034707210,1129313192,1858297951,3522399672,3340721261,3993688673,4339849491.88,4943980265.0602,5608034857.7656,5590264666.0629,6533950930.0233,6645036446.488,7365649585.3433,8002523590.813,8275260218.702,5488209829.483,7168594694.63,7366267338.0396,4907501167.9884,10982391186.1999,10306006374.7818,15531778020.7328,7955818214.696,9227087172.2722,7381927554.0168,7078317570.07,2769615531.51
"R&D",1416811000,2416400771,2842890914,2778007246,2490935605,2100052256,2192985952,2779652339,2864811200,2677805952.63,2465687039,2059536254.4,1959577035,2269314662,2126372250,2572376430.4375,2834819730.9288,3420051938.7431,4085099587.2522,4718185112.5069,4850566339.9601,3732857487.462,3524333981.7703,2722187306.6245,2680773286.1057,2415933055.2847,2521019866.7572,2585572803.8472,2394052047.1216,2878708454.7402,2588288965.6096,3503200323.719,3517714620.7947,4339142163.9228,4255361441.13,1852284764.31
"Services (Non-R&D)",548193000,548738177,435176721,555859473,602089398,547658348,508961092,398726719,470577384,467183290,117992918,92101683,160897633.825,215715055.0938,730822330.5797,329760756.7,359132954.5914,570628673.0872,682080070.7723,995883663.0243,915275560.143,984186044.135,1149709075.0949,1102294212.8322,1124511017.9191,1091350278.3896,1088147118.3779,1340175265.733,1379295010.7949,1897190978.617,2258045931.523,2017267051.619,2291087834.4932,2167692081.0711,2693300362.83,1366218272.13
