"Vehicle.AwardTask","Vehicle.sum7","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Award","Definitive",17978756,1435601,2952224,33295213.65,27007361.29,38895674.59,157243955.9365,143354713.3998,139426866.4473,297832687.6101,294678553.06,318353968.38,304843638.6239,188089958.3489,268158842.63,337345578.16,365045684.76,197368697.37,72161567.94,96091929.07,29331200.39
"Task Order","BOA or BPA",,,,,,,,,,590871,,,0,,-16706.3105,,,,,,
"Task Order","Multi-Awd.",,,,23045.2305,,,,,54900821,14939920.8,3435276.95,181043,,,,,,,,,
