"PricingUCA.sum","PricingUCA","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Cost or Effort-Based","Other CB",,,,,,,65541072.875,99659193.25,92698119,23883606,3482283,40284106.42,13363941.7501,3279146,48929602.7695,54382836.56,28182374.7,17818107.88,14888075.9,55055657.8,24372473.39
"Crosscutting","UCA",,,,,,,25597703,,,71733172.92,80316549.06,9436462.16,0,118649.6563,,,,,,,
"Crosscutting",,,,,,0,,,,,,,,,,,,,,,,
"Fixed-Price","FFP",17978756,1435601,2952224,33318258.8805,27007361.29,38895674.59,66105180.0615,43695520.1498,101629568.4473,61282040.92,57178807.95,50601054.77,43026410.5938,24846340.425,7930692.77,10055920.6,30567659.02,12320496.08,750969.6,6432491.22,
"Incentive","CB-Incentive",,,,,,,,,,126736582,113344315,191464858.03,206948506.28,37782886.2676,83834915.87,140382592,148606482.04,40683747.41,28205773.29,250000,0
"Incentive","FP-Incentive",,,,,,,,,,29728077.5701,43791875,26748530,41504780,122062936,127446924.91,132524229,157689169,126546346,28316749.15,34353780.05,4958727
