"SimpleArea","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Products",,,,,,,,,,21666931.3701,18878984,42032652.71,25142090.3739,24623082.2426,33367707.9495,28290021.16,23563384.68,23617113.55,31203622.95,35463332.15,4898686.39
"R&D",17978756,1435601,2952224,33318258.8805,27007361.29,38895674.59,66105180.0615,43695520.1498,50915892.4473,190505724.12,195483020,232950545.87,279701548.25,163348226.45,234774428.37,309055557,342178907.12,173751583.82,40957944.99,60628596.92,24432514
"Services",,,,,,,91138775.875,99659193.25,143411795,101190823.92,83751826.01,43551812.8,0,118649.6563,,,-696607.04,,,,
