"SubCustomer.JPO","SubCustomer.sum","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Air Force","Air Force",,,,23045.2305,,,91138775.875,99659193.25,143411795,278703575.2901,280561255.01,319400720.61,304839668.1239,188089851.8989,268149425.9495,337345578.16,339636928.76,197368697.37,72161567.94,96091929.07,29391241
"Army","Army",17978756,215723,2952224,33295213.65,27007361.29,38895674.59,66210325.0615,43695520.1498,50915892.4473,34659904.12,17552575,-865709.23,3970.5,106.45,-7289.63,,25408756,,,,
"DLA","Other DoD",,1219878,,,,,,,,,,,,,,,,,,,
"Other DoD","Other DoD",,,,,,,-105145,,,,,0,,,,0,0,0,,,-60040.61
