"PlatformPortfolio","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Other Knowledge Based",83239040.5,40307917.72,78194129.7,192116656.86,608933018.91,910794872.76,1102650839.84,2411777510.58,11316837286.63,9504670444.17,7241427890.6,8283305226.92
"Other Services",,,,,,,,,4655556.85,657827090.72,20404883.87,-360291248.36
"Other Products",,,,,,57335,25981140.04,134059084.94,131780525.2,465404468.74,314663002.43,494879140.25
"Facilities & Construction",,,,,,,38076,3250215.47,5885710.43,15220614.89,54211804.26,55570373.84
"Electronics, Comms & Sensors",728000,2358098,1136000,1118000,2131800,81573195.4,269947923.24,735818973.8,851863707.27,1018802944.81,1090495121.9,1833213574.96
"Ordnance & Missiles",269774135.22,285893757.01,446685336.9,501648660.82,579220498.39,946511490.71,2166459171.64,2807329764.13,2587690747,2167354026.94,1636760006.64,1316397383.59
"Air & Missile Defense",,,,,,,,,79948980,164193402,239101539,427525499
"Space Systems",,,,,,,63645648.71,1090296139.57,726864400.05,446489364.75,175793784.14,121644506.3
"Land Vehicles",49336316,,,,242871013,172456428,310034438.71,95938894.91,157498288.3,173475467.55,113872998,55527798.23
"Ships & submarines",,,,,,,,,16050000,17718734.32,23467888.65,38775948.78
"Aircraft",70928104.64,1.2e+07,-2456382,,,4095000,14776996,139945505.39,456065507.39,26882453.65,70022317.19,10548790.96
