"SubCustomer.sum","SubCustomer","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Air Force","Air Force",3903539,4636181,4993631,250037783,187693198,526509339.38,1428461728.3,1434944443.27,1984548328.57,1435539702.94,2689378463.63,1158493923.01
"Air Force","SDA",NA,NA,NA,NA,NA,NA,NA,NA,NA,623617676,1151457876.22,205871368
"Army","Army",305798391.22,467083660.6,623306976.79,902166349.31,1545404234.55,2947049116.68,4947335602.07,13268348989.6,10555585063.85,6098779255.42,6972760061.59,1039427181.98
"Navy","Navy",1087637,2694831,2316363,4928841,50000,31955707.71,167767241.67,631276825.1,983644454.27,1473378873.84,2609904591.83,335371370.78
"Other DoD","DISA",NA,NA,NA,NA,NA,NA,11787736.15,38032189.82,43727334.67,84519055.54,142468889.27,58926027.93
"Other DoD","DLA",NA,NA,NA,NA,NA,NA,6e+05,1096960,607537.57,244088.96,366460,4e+05
"Other DoD","MDA",NA,NA,NA,NA,NA,NA,NA,79948980,164193402,239101539,429224933.8,50819960
"Other DoD","MilitaryHealth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205055533.63,28393656.31
"Other DoD","Other DoD",29770205.51,49144412,64266346.89,276023356.99,382340889.32,448395065.41,655463780.6,881492321.33,934440072.11,1025457321.72,1479886587.28,308277086.49
