"SimpleArea","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Products",13270461,-1320382,1977295.89,244624801,219930669.1,479062468.04,579939887.13,946973502.77,1409196643.42,1074251887.67,2240471975.81,235748604.49
"R&D",326666879.73,524299944.6,692906021.79,1187333627.82,1853556666.47,3314653610.88,6283324286.93,14847864768.36,11797929547.51,8909173660.82,12472345754.83,2736857788.7
"Services",622432,579522,0,1197901.48,42000986.3,160193150.26,348151914.73,540302437.99,1459620002.11,997211964.93,967685666.61,213374181.31
