"SubCustomer.OTA","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Air Force",3903539,4636181,4993631,250037783,187693198,526509339.38,1428461728.3,1434944443.27,1984548328.57,1435539702.94,2689378463.63,1158493923.01
"Army",305798391.22,467083660.6,623306976.79,902166349.31,1545404234.55,2947049116.68,4947335602.07,13268348989.6,10555585063.85,6098779255.42,6972760061.59,1039427181.98
"DARPA",22014936,40849581,62907051,214782354.78,379711068.32,377879847.47,423307981.86,354104917.18,347468914.34,312343199.61,475400769.77,136935968.07
"MDA",,,,,,,,79948980,164193402,239101539,429224933.8,50819960
"MilitaryHealth",,,,,,,,,,,205055533.63,28393656.31
"Navy",1087637,2694831,2316363,4928841,50000,31955707.71,167767241.67,631276825.1,983644454.27,1473378873.84,2609904591.83,335371370.78
"Other DoD",7755269.51,8294831,1359295.89,61241002.21,2629821,25726506.71,92920322.3,212844763.05,327786768.06,459372734.97,783302929.6,166434893.63
"SDA",,,,,,,,,,623617676,1151457876.22,205871368
"WHS",,,,,,44788711.23,151623212.59,353671790.92,303519261.95,338504531.64,364018237.18,64232252.72
