"SubCustomer.sum","SubCustomer.OTA","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Air Force","Air Force",250064.663836707,2389559.52854407,4827385.50575925,5624607.64403593,5989598.55382319,297442452.583275,219361526.087503,600798857.280942,1831676409.47004,1583462384.45367,2107609764.29634,1449206905.11
"Army","Army",340532349.980075,525475305.318418,378171377.680593,566665177.182479,747624036.852,1073208090.22237,1803930286.3464,3365269271.17564,5540187091.58253,14648009822.4604,11281028405.7576,6026337389.35
"Other DoD","DARPA",78869820.4665619,48808931.6446873,27225187.9529364,49558648.7128662,75453709.2738494,255502946.838135,443777400.068549,431505342.645909,472525950.632203,391367669.34187,371544199.725575,312343199.61
"Other DoD","MDA",NA,NA,NA,NA,NA,NA,NA,NA,NA,88362077.0308439,175569967.927018,239101539
"Navy","Navy",NA,NA,1345046.91494756,3269364.8159951,2778355.96481389,5863300.08946288,58436.1949247365,36490590.0571763,187895132.934856,697706605.478554,1047237964.45597,1451720368.33
"Other DoD","Other DoD",84368571.7135206,20241450.8906069,9590701.06019964,10063276.1854177,1630404.14819633,72851685.3630883,3073534.65146331,29377393.8126249,104068447.07652,235242592.816516,350515437.745554,459730766.66
"Air Force","SDA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,623617676
"Other DoD","WHS",NA,NA,NA,NA,NA,NA,NA,51144744.3290931,169814222.383454,390657828.600702,326314895.662937,338504531.64
