"SubCustomer.OTA","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Air Force",5989598.55382319,297442452.583275,219361526.087503,601227068.383093,1599841564.17873,1585944829.20489,2122052909.26765,1435539702.94,2565124820.29854,1079460893.59529
"Army",747624036.852,1073208090.22237,1806150861.75354,3365269271.17564,5540892675.89429,14664588284.8181,11286956165.943,6098779255.42,6650607246.93586,968516944.631122
"DARPA",75453709.2738494,255502946.838135,443777400.068549,431505342.645909,474094398.478706,391367669.34187,371544199.725575,312343199.61,453436483.788929,127594128.482021
"MDA",NA,NA,NA,NA,NA,88362077.0308439,175569967.927018,239101539,409394046.271672,47352997.1495616
"Military Health",NA,NA,NA,NA,NA,NA,NA,NA,195581635.670539,26456627.0086215
"Navy",2778355.96481389,5863300.08946288,58436.1949247365,36490590.0571763,187895132.934856,697706605.478554,1051798812.76699,1473378873.84,2489322770.16825,312492169.702415
"Other DOD",1630404.14819633,72851685.3630883,3073534.65146331,29377393.8126249,104068447.07652,235242592.816516,350498324.866885,459372734.97,747113064.859418,155080622.724791
"SDA",NA,NA,NA,NA,NA,NA,NA,623617676,1098258656.32667,191826721.274089
"WHS",NA,NA,NA,51144744.3290931,169814222.383454,390888964.848702,324549381.623713,338504531.64,347200004.707186,59850296.6149537
