"PricingUCA.sum","PricingUCA","2006","2007","2008","2009","2010","2011","2012","2013","2014","2016"
"Cost or Effort-Based","T&M/LH/FPLOE",,2998864.1095,3715323.5078,6535903.211,3506464.5859,4644929.8281,,-103674.3281,,
"Fixed-Price","FFP",428296.875,658653.9277,7998850.0801,179527.8935,3558398.3281,121004.213,1358863.3166,423538.54,-1216.76,-15904.83
