"program","Biotechnology","Computing","High Technology","Microelectronics","Modern Telecom","Renewables","SensorCyber","Space"
"504",295380000,1294134320,413695336,403306000,102213000,41536000,37470250,6795000
"7(A)",589430837,6048167015.59,1694419120,888192199.99,524904921,117458160,82018219,44667300
"SBG",1052534.18,41881794.23,7105471,,5680831.92,32282073.69,,
