"Vehicle.AwardTask","Vehicle.sum7","2019","2020","2021","2022","2023","2024","2025"
"Award","Definitive",,61648,26664,,,268420,
"Award","Pur. Order",892013.26,317775.63,-45887.51,245615.25,16000,612461.98,267632.1
"Task Order","BOA or BPA",,,88523.2,,,,
"Task Order","FSS or GWAC",1279194.4938,1745002.3192,2174734.4625,3359951.9786,641244.3538,853281.13,348190.07
"Task Order","Multi-Awd.",163047.1597,139380.96,,,,,
"Task Order","Single-Awd.",-5000,,65000,,,,177650
