"SimpleArea","2019","2020","2021","2022","2023","2024","2025"
"Products (All)",113378.4604,127045.2402,803792.7754,2160278.3806,150998.875,627513.95,467288.66
"R&D",-175,,,,,,11711
"Services (Non-R&D)",2216051.4531,2136761.669,1505241.3771,1445288.848,506245.4788,1106649.16,314472.51
