"PricingUCA.sum","PricingUCA","2019","2020","2021","2022","2023","2024","2025"
"Cost or Effort-Based","T&M/LH/FPLOE",277570.2994,509298.49,79582.5604,120212.47,122496.51,124823.94,
"Fixed-Price","FFP",2051684.6141,1754508.4192,2229451.5921,3485354.7586,534747.8438,1609339.17,793472.17
