"PlatformPortfolio","2019","2020","2021","2022","2023","2024","2025"
"Electronics, Comms, & Sensors",1628435.7571,1358588.3494,1944156.844,2974951.609,452684.8438,839208.52,478808.66
"Facilities and Construction",98175.7301,3883.83,93611.8799,57538.1496,,56568.16,182130
"Other Products",,,,,,13621.01,
"Other R&D and Knowledge Based",579723.4263,901334.7298,271265.4286,573077.47,204559.51,814916.93,120533.51
"Other Services",22920,,,,,9848.49,12000
