"SimpleArea","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Products",1127793,128605130,207367642,257977679,211445723,258796896,356770013,330245487,326701888.3015,438484453.0985,731913616.4899,469816795.0259,436386986.3894,1504373359.0538,1541157246.5474,958214617.9085,1116151967.6563,660783700.5195,180724750.4325,138188870.5596,90474598.3451,276897322.0519,57106573.4664,91385099.5505,98400731.6499,70355598.95
"R&D",,,,,5352275,7776271,5526320,1117048,1029250.8544,3543675.1922,4341185.2738,1776379.6722,3317308.9668,1470710.279,156151643.02,177930445,233816255.1,279697577.75,163348120,234781718,309055557,316770151.12,173751583.82,40957944.99,60628596.92,24432514
"Services",,79283841,158096818,119957399,188583780,220702406,239721322,471062581,686375998.4428,655032000.5704,792875992.4366,1068531165.0987,1012460784.242,2945205135.7952,3289593409.475,3426005648.1824,3008839096.8863,3129396795.6053,2243439778.8998,1622829668.1816,1432123054.896,1320752128.3319,1413396897.9386,69446385.4419,182771772.4836,63298044.15
