"PricingUCA.sum","PricingUCA","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Cost or Effort-Based","Other CB",,1100000,89295524,153439678,284736280,291655372,379000657,368841707,222777814.8204,298613044.5755,374138815.2549,282592316.8933,415897013.9361,689348977.0765,550983085.3388,541960118.9622,569892805.3576,339069286.5024,237357624.7985,319614789.5853,436437665.6843,343652427.3599,20572871.7907,12260578.0945,56301493.3688,53975601.93
"Cost or Effort-Based","T&M/LH/FPLOE",,12791791,5018663,1170252,12518844,25696222,22728562,83454561,36473113.1967,113327248.8482,166615199.8438,201621953.9148,114739335.2008,154839667.3763,48213072.6,14241430.2,7059537.54,22099001.2465,-3717720.6334,-1963009.8623,-274203.6341,-779504.3458,-42760.7319,66335.6993,90389.7813,
"Crosscutting","Combination or Other",,,,,,,,0,70614692,883129.3125,4181508.5276,311733.7422,164685.0401,-37382.0809,-3994,,,,,,,,,,,
"Crosscutting","UCA",,,,,,,,,,,,25981741,14150521.875,180756455.75,245887524.67,102587237.96,555391765.14,595995439.43,548787731.1563,918106414.2097,12963258.1784,8025031.5,0,,609357,
"Crosscutting",,,,,,,,,,,5413046.5449,-3760012.5556,0,,0,0,0,0,0,0,0,0,0,0,0,,
"Fixed-Price","FFP",1127793,81630779,245739395,218358580,104357731,156416598,202061059,340002195,673472615.0816,357430892.3,469733530.9508,733541542.4215,773159488.2337,3175192000.7521,3545905609.3835,3472417477.9915,2781817411.3043,2385121946.094,1066299164.1366,394141179.9669,120807188.06,303137144.5086,81538831.3359,57285831.7835,71026998.8313,68826802.65
"Fixed-Price","FP-Econ. Price Adj.",,,,,,,,,0,34936373.28,-4012831.54,31582493,39331383.2656,38562808.4727,97316625.1,83520659.64,113473256.87,88550250.5469,125979320.002,10462358.08,5680005.17,-12027384.77,-9877514.38,,110515020.46,
"Fixed-Price","Other FP",,,,,,,,,10768902.5,200756428,199951729,1303957.375,-722875.9531,-387424.9375,449030.58,-6693,,,,,,,,,,
"Incentive","CB-Incentive",,86182421,3181900,,,8276485,-1772623,7e+06,0,42899966,82943829.7188,86564900,94055510,179685431.2188,394682715.94,223430619.42,221580491.1,542704520.405,444541289.4851,122932045.0575,667080838.8875,670555147.4198,984190131.91,39928127.6025,10564992,632854.19
"Incentive","FP-Incentive",,26183980,22228978,4966568,3768923,5230896,,3126653,0,42800000,239339025,176623701.45,1390018,33088671.5,103468629.4301,123999859.9172,109592052.3307,96337629.65,168265240.3872,232506479.7041,588958457.895,601856739.8313,567873495.3003,92248556.8026,92692849.6121,34650898.33
