"SubCustomer.DoD","CaseStudy","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Air Force","Electro-Optical Sensors",35564000,37087000,46062145,17127071,143113294,67706007,28956757,34287504,46313336,62573278,37763066,64731319,57541677,44114316,78670776,91852948,70185829,61118754.614,131596321.4924,84972088.2062,51899339.9284,41305486.1697,43196130.7346,19771004.42,35950017.7101,24651431.3354,16769750.1093,45615206.1392,347525713.833,183180384.459,246368514.4937,53914440.6579,55665878.8453
"Army","Electro-Optical Sensors",273654000,548956000,390065858,289019981,19006665,180293088,282330705,347309986,160747329,212649306,327150224,330969958,424540109,569705927,934934812,1805546513,1678125634.6817,2627371885.3869,2664316366.6051,1980504260.3852,1631132315.4258,1148469737.9376,925940063.838,551553782.4468,364485504.6859,337347621.9468,473043996.6583,527559219.5991,746669054.0201,710530722.0334,560876961.8232,350042517.9211,570792581.8831
"Civilian","Electro-Optical Sensors",,,,,,,,,,,22215288,28253000,25590797,30341255,32518363.3723,34402112.4964,35766315.0895,46887307.52,57228472.1676,98346093.8599,114673800.3445,84091959.5448,134732011.3623,138800192.8907,165104895.0772,134321280.029,189982990.8502,116326869.5019,170410534.7085,208497144.2429,139885141.2207,114443027.3223,112221708.3516
"Navy","Electro-Optical Sensors",181559000,119984034,119601717,177405229,232544799,124339086,83705449,107121051,48341555,90710564,174532462,88628422,222656754.5,274398973,303071679,403901453.5,430244726.0986,579345523.9802,623092624.499,545576258.8646,493099850.0695,812960569.1358,469241831.3064,312318676.8388,487635289.6987,481378515.2287,426477811.3098,470442166.8738,538140134.0214,528139220.6741,512962068.5577,388916249.7188,429631857.1043
"Other DoD","Electro-Optical Sensors",1392000,424000,1239352,3470267,35919460,2822998,7678074,8705208,12093675,7760298,14273932,18110708,39513649,54465079,105991491,62021642,64650467,59451519,45992252.3783,46745366.5032,111803690.7397,98360484.0466,96689454.0606,96791164.4798,70003191.8105,71963199.5032,100078286.3594,187893584.7796,335956769.9301,386945334.7458,190445761.6578,109176793.5082,150822348.8425
