"SimpleArea","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Products (All)",534278450.2891,326068421.3504,417545473.7335,911029804.6515,840602547.2307,578277534.0534,559316717.6986,529145798.0293,816941620.8706,1455761914.231,473762654.191,838001061.9886,793186114.6138,728941988.1132,517694281.4349,395778967.1154,154331098.34,178774442.1142,141973928.1413,230227233.4137,196915853.471,256450377.4595,355887692.0862,398336104.5008,421418998.17,229737115.88
"R&D",14267080380.215,14031992969.54,14899343810.14,20253587135.74,11450528797.66,12045608338.8542,12546996018.4885,13128600370.5937,13343116915.4635,16156561773.7693,14851761926.3254,14923219976.1121,14817555886.3194,14279224198.9593,15341049368.7502,14874613614.4785,17102406942.09,13740200191.8299,13999656296.5038,12417075800.4828,13875040898.4439,14534253220.3098,16733517904.1692,18401203645.6009,17890500098.77,8686491412.95
"Services (Non-R&D)",5843216688.0532,8703999823.8879,8683625526.8447,9348943247.4277,9544088462.0981,10613300696.7617,9852341451.6674,9765050971.2951,10039735067.9854,14042333820.1537,10423622081.4875,9358164060.9256,9574264529.1046,8976098991.9601,9645689048.3873,9903350821.3844,11032079661.43,15047102288.2281,17821471552.0765,20664265800.828,21906837099.5663,23769284851.5858,25822961488.5923,27474623725.8018,29359271025.5,13702063134.42
"Unlabeled",-35000,232000,5111254,1574988,2693616.585,-288372.12,3884606.5399,2311820.1695,1818348.18,243139.03,141569.0691,8221.7899,-4587.1201,,,-183934.78,0,,,,,,,,,
