"SimpleArea","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"R&D",6930962857.8004,7531017640.855,9643982403.1677,10522259463.3393,11696522819.7423,13384463726.4568,13498442996.5967,14746226986.0845,17774242230.8555,20518667440.1242,20481908852.5737,19556276344.6689,18438855395.1961,16160257392.5918,16755319977.6093,15946255551.2335,16389536188.9527,16561758123.9922,17010091316.2719,18050779328.2102,23479659158.3362,27610894415.8622,31097935220.0737,42160293135.0982,44969222419.78,16918453209.98
"Services (Non-R&D)",16697796140.8537,18337861630.4547,24466752248.1205,29284078724.7634,32365298582.2102,39875389102.9513,46722249773.5584,48761999887.728,55096396832.802,60292754432.2749,64564237796.4854,63400452634.3455,62690335593.4034,58728876817.029,58620266159.3693,60456227158.2678,62376725797.7914,65826661882.0838,71858819260.5532,77473819436.0091,84773290165.0828,90175452745.6339,92580661423.5509,102093574057.083,108817554273.149,39329395554.88
