"PricingUCA.sum","PricingUCA","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Cost or Effort-Based","Other CB",12298218150.2353,13391260697.4639,15517851009.2682,18615523588.1439,18183330201.6731,21661449242.3562,24266611708.5913,24950450956.7474,27945380221.0686,31261609218.7124,36591916242.9801,36294408561.2951,35072835342.0798,33237576044.752,32596172981.4712,33410779738.3088,33262913387.2911,35308705893.5718,38807792451.219,41949810664.7174,47618860171.8312,48638884319.6026,52073492293.7886,62330532555.843,66638337156.46,28036621097.22
"Cost or Effort-Based","T&M/LH/FPLOE",2005191186.8618,2202059647.7099,3547646978.8298,4266261211.3082,5731881600.2559,7605993335.1372,8911063326.7904,9044129037.0009,9940898729.9776,10632530928.2627,11489290464.0907,10453511233.8979,10237567297.3466,9473465884.3843,9062357082.5978,9034898245.2014,9577105086.839,10578945262.4999,13024168515.9034,15533575683.5868,18702468357.9877,18836565818.4364,18296298672.6822,20006367877.7189,21701867167.79,5032781598.57
"Crosscutting","Combination/Other",4227788.625,199141331.6992,22304493.9571,74666706.9302,522771125.5053,741162506.9293,2832249996.6293,6430794940.1015,8609944600.5955,9478563541.605,1091111428.1851,893735633.2621,292570783.3237,186315608.2759,36588730.1277,33768793.5188,-5752262.0324,-2283366.885,31026102.4648,36085863.8834,23250283.9452,32811056.5684,14405112.6503,765299.5979,819998.38,934873.64
"Crosscutting","UCA",337053617,441645772,462795682.28,794344904.4752,982154865.9398,1311137807.9809,1620778782.5462,1504256891.3596,1413697774.2212,2052466084.7222,2885682962.8849,1522850023.852,974665006.6357,754667568.5035,787674347.7349,672529255.5479,1072706058.3299,1331860596.5813,1377088352.8486,1863520146.957,2438774288.4927,2062602631.7575,1323801737.7526,1406870135.1725,1357895297.1,443303503.7
"Crosscutting",,1805471265.5027,1068850360.772,1326541882.2548,2002014783.9453,1783388335.0892,2122321342.0827,1947917351.4167,1640666372.9352,2182061071.6232,2095377713.4886,985087788.0525,424189961.7044,298327489.3701,155940277.113,183615893.3794,380647343.7648,118663282.9018,255131240.6896,85298721.3001,89905317.4997,103696276.0504,53273652.3604,-24485384.7768,2251402.4703,1595578.03,26416456.15
"Fixed-Price","FFP",6313494340.0085,7328926919.0575,11830027935.5299,12008164099.7345,14803450772.5235,17424668033.5006,17598299882.7211,17325468447.7266,19899415723.8841,21663428446.3203,28600932767.9611,29940881866.24,30888033191.4064,27453904145.5694,28503124734.0827,29171883082.6846,31265476521.8482,31993615998.3818,33001169375.9054,33639688425.8717,36866990245.6942,43157338530.9793,46302073868.2667,51723956344.1387,52821401808.3291,17819814320.68
"Fixed-Price","Other FP",328909701.4208,538914168.6872,579319494.6911,799831159.4418,647333059.8107,880912919.4235,825038411.4142,511232024.156,744327450.7788,1077293796.7361,1021489303.4875,1156063349.6333,1124720371.3932,1005152681.0382,1069238453.2376,747621437.4428,829647251.9264,351918638.7797,365869124.7206,166165272.7601,167648450.4974,169233895.8814,129215461.4127,86430715.5994,693028977.37,512086316.88
"Incentive","Incentive",536192949,698080373.92,824247174.4773,1245531734.1236,1407511441.155,1512207641.9977,2218733310.0459,2101228203.7853,2134913491.5085,2550152142.5518,2380635691.4172,2271088349.1296,2240471507.044,2622111999.9845,3136813914.3473,2950354813.0322,2645502659.6401,2570525742.4569,2176497932.4632,2245847388.9432,2331261248.9202,4835637255.9101,5563794881.8483,8696692861.641,10571830709.47,4375890598.02
