"VendorSize_NTDC","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Big Five",29993312707,31945138023,29753069568,30346592157,31747329388,28791249139,32842967690,34627617203,37288669184,39481622310,42902822546.2254,45999287165.102,60247822851.393,70112736203.1276,72882060944.0123,73955064380.7206,88529377435.8539,99100586147.3638,105266669700.67,107245503547.368,96939369086.5759,109468302700.962,105499463138.199,96995856740.5779,82026660480.1835,82093613281.8144,103132925805.592,112799135328.923,113078047450.629,123281118568.194,153210907310.412,114361655314.093,122304776861.729,84663692097.9125
"Large Traditional",35960694888,37863506273,35092959873,33829226700,31124696371,28535738215,30194170969,29073662056,28130482737,29677352211,24339685706.4517,25668062870.6387,32788951053.1231,47830922262.423,58825443576.2251,65108861243.7038,68516071349.0288,82810086269.79,101935552219.899,91082000212.6408,106725389754.146,103383013784.238,98265166220.3349,86438880967.1992,77207039866.9569,71996639966.4858,71551510997.6919,76631880839.9451,88698325243.6305,92762373993.5141,98398389839.8272,90770167372.218,99021129618.9242,48591295833.2184
"Medium or Large Non-Traditional",,,,,,,,,,,30879636954.9954,28990916270.223,30113227132.5393,35201492871.434,35241294858.2151,41875695732.6547,49185549119.2547,46279650071.9425,54012288564.5049,47688602187.0404,39399834017.7615,38073802839.4699,42291049655.6658,32247405087.1344,31296907203.1947,28506482015.0489,26784143602.9829,29083589497.9641,33837415345.756,35835726921.9774,34006207873.992,52156510661.3755,50741258836.9179,20342650358.8622
"Medium Traditional",28304563806,41243339793,34954992394,33954732784,32186662449,35189234715,30275743132,30248655247,30401001630,32561216997,12561996255.8882,20376379119.5963,19098314585.8526,25174152975.356,26390491632.9557,34314078131.7759,36302990528.4341,43285772133.7758,52322135708.5164,56439625804.5077,56543203658.8858,57356213929.8226,52731495692.821,43802955073.4203,38918110176.3577,38302470301.744,39722090100.4181,43597259051.7596,51940589519.8209,57640239173.7832,60573407783.3784,55378049713.2556,39014152184.0631,17449481642.3526
"Small",13434401635,19369182588,17619229930,17645725767,18075942350,19041220687,19347390330,17934428738,17288342573,19013150234,20597636512.8267,21626410588.6674,25988398540.367,32503996698.2746,34598872059.718,43335587798.781,45538329543.2904,49801473286.0533,54964300849.7418,59264807867.4139,58277206632.2153,56309134741.6547,56266882362.0404,47418032358.0387,53482722030.406,52427120840.6328,56461734363.4189,59242049642.4755,70266476117.5831,73354518952.1936,75798633027.2083,74294234511.4505,81672645182.5426,32808828005.7754
,12657156369,5733027167,5986408785,5597104734,4027272167,5034572112,5788506977,4097788635,3857386043,1451694736,896708530,1332582608.1,1573806973.21,709786293.2455,1836868750.7889,7075231414.8205,7092868367.2559,6876854944.5664,9487139041.4969,5929525859.4555,4811342087.0799,3973190873.3447,2739247979.5661,1325283035.7596,518098070.4508,899913864.8209,872368734.0903,501162415.0376,1009255457.355,1101647733.6542,760098902.1179,742455295.4319,21741977737.9626,13529156156.6481
