"PlatformPortfolio","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Aircraft",30980247148,30513099255,30337971567,29918044865,30546960405,26815505318,28856006190,24930833919,26529770069,27545374131,35420338064.53,36121846165.9257,39025889481.1626,49245020029.4637,47802126589.0065,47282598640.2872,53972978017.4748,60482591258.198,66726735467.1453,65849649896.1388,63602590938.9941,70302793893.225,78164108641.6892,73258708289.3698,58222443277.1414,61693160072.2121,75346140622.7846,85822546369.7272,83373304201.1622,89852892406.702,105298017809.666,72317396325.3251,75108585015.672,96995646293.0624
"Electronics, Comms, & Sensors",19702439894,19319595733,19385047958,18241613499,17643919462,18690643667,18181185718,18425728076,17479311563,19571291342,20750676264.8069,22386721023.8738,25803292760.2489,31478087363.2645,37532046093.9956,42233245585.0679,45202505169.8666,52453611935.7844,56952456675.6228,55345684535.234,56120936477.6944,52418075878.9569,49620215540.7029,41112635436.1571,40854073127.2958,39614815295.5962,43304184712.7622,45708263092.2476,50957130555.7439,54952893120.2498,55329834166.3768,49583442424.8847,53546284748.8237,56374981980.7601
"Facilities and Construction",12183236305,18492829868,17657715911,17178015869,20332444544,20137905407,20282796585,20228512717,19564618261,20604829391,20799929809.0744,23066281711.1986,26062764948.2615,34446873946.1072,35703041181.6458,39558477133.0259,45549460658.2664,46197030193.4649,57291112174.4563,52462080706.4339,61240165211.3601,54580627218.1194,49011661646.401,39240744680.2693,42213355161.2693,38127789059.9686,38561474127.2722,38440853796.0754,46952349647.6577,52043159899.2098,60166730893.8145,51157807959.2961,57278598256.3794,65051855498.8764
"Land Vehicles",4275032000,6503975889,4166812450,4396364530,3619043411,3098454659,3678250068,3652647546,2804250415,3507393596,3396266974.419,3297789660.2609,4784757835.3455,9641512545.4737,8545490688.4385,15261772563.5679,16131764915.1655,28198596869.2682,39757131645.2551,28835153649.3425,25336094910.7151,19578188100.5525,10836528628.4807,7434900089.5787,5825586534.0528,7498132862.7277,7352597731.5422,8253304453.7592,12689097517.359,12908661948.8232,11744812495.6055,9688901727.4408,10751280211.3575,14479765870.1516
"Missile Defense",3035334000,5206015283,3918554592,4991418711,4289293657,3486356407,3715624896,4012460461,3602703203,3665542951,3001039117,3364291531.4,4726590946.825,5036432095.0938,5992625468.5797,6492707660.0175,6763227952.9035,8308217799.1016,8761740938.3708,10499669779.5773,10542656756.6485,10910330875.6452,11207421398.9962,10807937186.4424,8516457737.3941,9379386451.573,9985841658.1002,8633210134.3361,13427043673.9019,14829080764.0133,19369052642.8584,12097540388.2391,13817290467.525,12565805969.0619
"Ordnance and Missiles",11331278000,14834080775,13464555013,11175370345,8533017359,8543659793,8817441132,8032566815,8630834203,9161817835,8681402236.275,9120773485.3995,12359020197.6434,13573436529.0499,14093492581.0852,14840541927.2791,15025795442.0167,17946664167.9909,19206047806.6576,17915540938.4535,16686895593.123,15426122050.0091,15679934177.9548,13040612597.5447,12578103270.4523,13250994230.3246,16476049112.8483,18044712601.5428,21672331633.5341,23141257555.4644,23860916065.7684,21969758183.3525,20477257803.2334,34107188711.9913
"Other Products",10893531000,13666534115,9670953302,10550468583,8625703645,8564693193,9626845429,9689825022,8560246161,7673714576,8636765200.09,10224964698,13391908176.2413,15543175627.4263,18316590305.9026,31788501748.0453,34619998279.9158,34291731704.586,39100082213.1777,35618893846.8764,29121536359.5554,30007007163.88,35357832226.4521,26464056854.4453,24267856901.2681,21069110791.9282,19406249663.8794,21576569443.7504,25383412216.5396,23212977680.1147,25509679725.0878,53503934881.0247,58510550519.1283,32031182874.2855
"Other R&D and Knowledge Based",7773865381,7927436229,8786567450,8567595442,8463162454,8878189431,9287693638,9695769466,10804672536,11285682035,12417095330.0637,12422083506.9764,15837779623.0314,18425337218.2575,20538698310.4903,25425408590.5914,28721179673.6596,30296153196.6308,33793862112.8894,38519468121.9372,40073864580.8397,39862268290.4983,40121733965.4144,33944150887.7485,33472011888.3599,33145726977.1681,33368023633.9218,34659189321.5545,38655727918.7517,42566479782.3748,44263930326.6549,52161150489.8981,55006275313.3216,67333947968.5568
"Other Services",4385190184,5641814985,4211344274,3075823560,4014703413,5272937433,5083168952,5793220616,6068760797,7339018466,6506896271.1198,7420418599.3494,10545115941.9799,16105347747.7896,20109780726.6094,22213036982.5083,24238830668.3656,24497884759.1049,27467961595.1801,30723649236.1862,33027824591.2976,36792670341.8412,33864152994.884,30654947847.6359,25657560820.3307,22964024432.7188,23829117897.8035,26217769701.1504,28605233303.0701,29614691816.3822,29574434846.3574,28823200233.734,30704358655.735,32091803138.3627
"Ships & Submarines",10680657493,9512770712,8600082026,9502770472,7389026646,9654356740,7969628348,8340521642,9369233233,8320132027,9355821763,12404327288,12695551337.9302,12672639053.0506,14842821715.218,14040438232.125,16819203918.0557,17252495018.4087,19353085549.2856,21501494553.2492,17562189933.0446,28389571263.5333,23823517535.9178,23051278527.2609,23827426373.0695,21478209072.9086,24652659223.7647,27207917365.1003,31309731161.7674,33306137418.9457,40083302918.2624,31960874260.6986,34380528500.5512,40080961983.957
