"PlatformPortfolio","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Aircraft",30980247148,30513099255,30337971567,29918044865,30546960405,26815505318,28856006190,24930833919,26529770069,27545374131,35420338064.53,36121846165.9257,39025889481.1626,49245020029.4637,47802126589.0065,47282598640.2872,53972981227.4748,60482600006.198,66727621105.1453,65849650957.1388,63598893439.5141,70302256287.315,78150207684.1092,73584420619.4498,58211863219.2414,61741073886.0636,75582585593.6289,86311456593.6149,83378385621.9822,90024883528.452,105312998185.306,72315903339.8151,75113328740.932,96995646293.0624
"Electronics, Comms, & Sensors",19702439894,19319595733,19385047958,18241613499,17643919462,18690643667,18181185718,18425728076,17479311563,19571291342,20750676264.8069,22386721023.8738,25803292760.2489,31478087363.2645,37532046093.9956,42233245585.0679,45202510353.8666,52453611935.7844,56952266590.0593,55341341477.5074,56114137090.2045,52437489587.3691,49639447482.3894,41575599870.6571,40952680665.7589,39557456999.3739,43352663887.7619,45884365711.5964,50962357483.6639,54990567641.2998,55373068322.2768,49757579063.9947,53590708782.9437,56374981980.7601
"Facilities and Construction",12183236305,18492829868,17657715911,17178015869,20332444544,20137905407,20282796585,20228512717,19564618261,20604829391,20799929809.0744,23066281711.1986,26062764948.2615,34446873946.1072,35703041181.6458,39560168281.6959,45549460658.2664,46197030193.4649,57289805481.4485,52462064678.3939,61236183156.6999,54581198013.7688,49007984669.2396,39481175752.3693,42205294353.2793,38090851773.6279,38529640612.233,38465513767.347,46955331527.6677,52081150632.4198,60190503587.6145,51236744029.2161,57327011847.1094,65051855498.8764
"Land Vehicles",4275032000,6503975889,4166812450,4396364530,3619043411,3098454659,3678250068,3652647546,2804250415,3507393596,3396266974.419,3297789660.2609,4784757835.3455,9641512545.4737,8545490688.4385,15261772563.5679,16131764915.1655,28198596869.2682,39757131645.2551,28835130202.1433,25332224335.1251,19576198581.0625,10828793142.0108,7472768821.0787,5824822608.5028,7494716921.2158,7347137437.981,8239323197.2383,12688129780.899,12916776124.2932,11753660358.6955,9707535596.4608,10755277204.8675,14479765870.1516
"Missile Defense",3035334000,5206015283,3918554592,4991418711,4289293657,3486356407,3715624896,4012460461,3602703203,3665542951,3001039117,3364291531.4,4726590946.825,5036432095.0938,5992625468.5797,6492707660.0175,6763227952.9035,8308217799.1016,8761740938.3708,10499669779.5773,10542656756.6485,10910330875.6452,11379192863.9962,10825622622.9324,8517101693.0641,9381489734.2272,9985841644.4328,8631901799.5215,13427043673.9019,14831767847.7133,19369046411.0084,12098027746.7991,13817290467.525,12565805969.0619
"Ordnance and Missiles",11331278000,14834080775,13464555013,11175370345,8533017359,8543659793,8817441132,8032566815,8630834203,9161817835,8681402236.275,9120773485.3995,12359020197.6434,13573436529.0499,14093492581.0852,14840541927.2791,15025795442.0167,17946664167.9909,19206047806.6576,17915540938.4535,16683539755.943,15425486277.7391,15680038309.4748,13086394176.0147,12577851701.0823,13339657474.354,16417139805.6039,18046142202.2298,21672738536.7441,23153331165.3044,23860853627.4284,22036276383.2625,20518244524.0434,34107188711.9913
"Other Products",10893531000,13666534115,9670953302,10550468583,8625703645,8564693193,9626845429,9689825022,8560246161,7673714576,8636765200.09,10224964698,13391908176.2413,15543175627.4263,18316590305.9026,31788501748.0453,34619998279.9158,34291731704.586,39100082213.1777,35618854633.6654,29439144704.7353,29987721181.44,35353479902.7521,26660353274.2953,24339441360.5181,21065395267.6444,19404258851.3895,21592156831.6134,25365341801.3796,23224250346.5647,25599668880.1078,53797961719.6247,58549991080.0283,32031182874.2855
"Other R&D and Knowledge Based",7773865381,7927436229,8786567450,8567595442,8463162454,8878189431,9287693638,9695769466,10804672536,11285682035,12417095330.0637,12422083506.9764,15837779623.0314,18425337218.2575,20538698310.4903,25425408590.5914,28721179673.6596,30296153196.6308,33793862112.8894,38519769696.5872,40075855184.4369,39863528846.0364,40119393956.3294,34082587533.4285,33471326144.6199,33092726391.0453,33393896550.343,35133545546.0807,38668464832.5317,42593014774.2848,44293831038.0849,52288331299.6181,55053115586.0216,67333947968.5568
"Other Services",4385190184,5641814985,4211344274,3075823560,4014703413,5272937433,5083168952,5793220616,6068760797,7339018466,6506896271.1198,7420418599.3494,10545115941.9799,16105347747.7896,20122322173.6094,22213036982.5083,24238830668.3656,24497884759.1049,27467961595.1801,30723657953.9661,33024157522.5476,36792544572.9212,33864152074.424,30720279068.4946,25672166504.7082,22997599694.1746,23835501304.3986,26291567329.0597,28451239325.7701,29630218919.2422,29577007791.8474,28833080334.684,30708460196.095,32091803138.3627
"Ships & Submarines",10680657493,9512770712,8600082026,9502770472,7389026646,9654356740,7969628348,8340521642,9369233233,8320132027,9355821763,12404327288,12695551337.9302,12672639053.0506,14842821715.218,14040438232.125,16819203918.0557,17253476231.4087,19353690498.2856,21502362119.0092,17560439803.0746,28388643761.2933,23821211148.2078,23155484221.1809,23827136100.9795,21484043032.8701,24652198872.3755,27220527404.9534,31314783033.7574,33316277119.3057,40084655897.7224,31995830248.0186,34393606281.5712,40080961983.957
"Space Systems",5109318000,4536041000,3207056007,3775896266,3704627729,3449312820,2950138142,3180065599,3551481726,3510240138,3182752124,4154315718,4493775536.64,5289484148.71,6278698518.1575,6522295855.15,8010484956.6197,8210408405.3334,9577508055.1393,10381036873.8353,9089367407.3932,10298401710.0025,9949410293.4938,7583827025.3494,7849404435.7951,5981199095.95,6020327514.6153,6037218785.8494,5946506311.8459,7212921359.4366,7332340636.844,3635416790.3311,4667924791.2423,5131120129.3471
"Unlabeled",,,,,,,,,,,29503352.0086,9825233.9431,84074351.1753,75741000.1739,7078195.786,3802636.121,109748296.8079,18047584.62,368043.2203,986168.1493,-253919.658,-140825.1013,-6477.8001,-99723.1206,449040,30000,3581529.4309,1357607,-212795.3691,465885,10000,386316,980919.7602,2471452.5461
