"SubCustomer.JPO","SubCustomer.sum","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Air Force","Air Force",41032316000,43625084000,38602723036,39452449414,43554730825,37076749369,39081089944,34943056076,33653688998,35246060466,37958902443.9792,40633046636.6096,47413884727.7773,55557135003.1158,55056695782.7962,55580069108.396,63139443626.7128,69877137104.6142,63650765833.6126,67807653967.5007,64906627935.6132,65474686589.0808,71494322193.8395,55167581228.6911,55809779920.7857,52854391928.65,65081382836.7445,61386833365.3611,71372554021.9616,75890212380.1296,77993894441.1499,79253155693.3094,78959656045.5908,92648826152.8023
"Army","Army",22813033000,34893842000,31113808998,30657778464,20628301908,29493441926,31662201213,31185929950,31088689272,33772526734,36832486828.7767,40556205536.802,46178863976.4256,64206590752.1488,76070511917.5932,95626896368.6952,101678175961.091,118362714094.749,153116492097.662,133283190791.841,141175890092.295,125509085819.483,109148402354.595,87721095360.9504,75415111409.0241,72934439833.5186,74217468106.39,78661404494.9236,91560903638.4341,95151472982.0562,100704683279.227,109953666545.705,112662397293.32,112246548911.501
"DLA","Other DoD",9188590000,11683472000,6901945039,7925523004,6684428944,6635930451,7225251729,7958666470,7294689216,7746287061,9580614163.6178,11426471526.7901,14591296027.8973,17678992692.2955,19619639943.3795,27914804285.9129,32598901934.9788,30639765052.041,35718777231.7415,38025421240.8925,35241653680.1506,36127646933.727,43151126152.4651,34082647040.6219,32346904486.1849,30902240654.202,30255045624.9741,35610652173.7694,45468278094.7859,44394024154.9147,42089476383.2163,39549030210.1428,48267554690.3794,49706038939.0242
"F-35 JPO","Navy",,,,,,,,82828871,650715792,693041844,178031456,268635741,6554622,239927692,196180517.0938,297828366,634208177,1065862779.7227,2725377093.3307,3681464083.0004,1874856013.4357,4877655064.5174,4691798600.1306,12181359822.95,3796342018.2,11232863386.03,10460740832.5702,24144046676.9076,15993414974.4089,17024265522.4611,35959136464.8729,9846932235.4702,20737931643.9016,36167250010.2543
"MDA","Other DoD",,,,,343747860,251594273,300305090,388928264,552081489,925862742,1373879916,1673010916,2485964875.825,2671495076.0938,3382922964.5797,3841746261.1375,3492627141.4845,4929029622.6667,5760262866.5629,5673422752.5324,5356951767.0357,5382146532.3794,6877002433.8232,7706159819.8735,6050847486.8789,4690777698.051,6589081610.0559,5412284907.6471,8293301638.2249,8812739680.9708,12327217827.5023,8817353376.3239,9841067287.1589,7078755102.3313
"Navy","Navy",43985137405,41939949844,40644252613,37382740962,40131281740,38631559907,35472291538,36232822383,37261611868,36778132656,40298543522.9593,41940611230.7679,47787997912.3728,56619600369.5753,60624157342.1582,65286560670.3115,74324663257.1155,84721463032.6528,93702135658.865,92071737322.7801,86215470008.9482,99171598614.9458,89919385664.9845,82203638033.0772,80332500991.165,73505463049.8555,82796456805.6936,85436354767.6545,92260485664.8518,104797499740.237,114353759124.357,102014736768.441,103199471862.527,115511114931.776
"Other DoD","Other DoD",3331053000,4011846000,6143930864,5954890298,5819411448,4502738942,4707639584,5189919865,6464405532,7023124985,5956028175.0544,7495657034.3578,11345958994.187,14559345718.6315,14824923354.3145,17116613642.0034,19297166244.7352,18558451167.0458,23314275303.054,27107175319.8799,27924895739.1866,32020839315.3583,32511267648.7894,29165931955.966,29698051515.311,28106063720.2397,29124597787.766,31203500389.8412,33881171102.1072,37905410882.5475,39319477216.611,38268198038.4324,40827861599.2622,42888197823.2697
