"SubCustomer.JPO","SubCustomer.sum","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Air Force","Air Force",41032316000,43625084000,38602723036,39452449414,43554730825,37076749369,39081089944,34943056076,33653688998,35246060466,37958902443.9792,40633046636.6096,47413884727.7773,55557135003.1158,55056695782.7962,55579956599.756,63139443626.7128,69877137104.6142,63650657755.6126,67810218934.2273,64905685744.4933,65471462897.9409,71493344398.3045,55062490676.1911,55808455701.0382,52960856012.5237,65088113435.2407,61004260676.4084,71362688751.9416,75851570826.8996,77933018415.3299,79067505544.4194,78871485584.8908,92648826152.8023
"Army","Army",22813033000,34893842000,31113808998,30657778464,20628301908,29493441926,31662201213,31185929950,31088689272,33772526734,36832486828.7767,40556205536.802,46178863976.4256,64206590752.1488,76057970470.5932,95626896368.6952,101678175961.091,118362714094.749,153117508960.234,133284225191.141,141178071592.035,125510926898.914,108978279791.35,87124574688.8817,75443210895.2841,72720775332.7645,74367578128.5055,78607240078.1273,91560514932.4141,95145212143.3062,100691413645.887,109898914985.775,112657954252.39,112246548911.501
"DLA","Other DoD",9188590000,11683472000,6901945039,7925523004,6684428944,6635930451,7225251729,7958666470,7294689216,7746287061,9580614163.6178,11426471526.7901,14591296027.8973,17678992692.2955,19619639943.3795,27914804285.9129,32598901934.9788,30639765052.041,35719277231.7415,38025421240.8925,34948183114.0006,36156678383.9385,43190009229.5849,33769600615.4319,32283075014.6749,30860856931.4905,30241626200.6793,35336964305.4736,45474020987.5159,44191044436.3047,41961669014.5563,39148232688.5228,48166565720.6694,49706038939.0242
"F-35 JPO","Navy",,,,,,,,82828871,650715792,693041844,178031456,268635741,6554622,239927692,196180517.0938,297828366,634208177,1065862779.7227,2725377093.3307,3681464083.0004,1874856013.4357,4877655064.5174,4691798600.1306,12181364143.38,3796342018.2,11389818543.0914,10143588537.0827,24140285523.0243,15993414974.4089,17024265522.4611,35959136464.8729,9846932235.4702,20737931643.9016,36167250010.2543
"MDA","Other DoD",,,,,343747860,251594273,300305090,388928264,552081489,925862742,1373879916,1673010916,2485964875.825,2671495076.0938,3382922964.5797,3841746261.1375,3492627141.4845,4929029622.6667,5760262866.5629,5673422752.5324,5356951767.0357,5382146532.3794,6877002433.8232,7703008831.9635,6050847486.8789,4688499792.4277,6589081606.021,5413263859.5578,8293301638.2249,8812739680.9708,12327217827.5023,8816866017.7639,9841067287.1589,7078755102.3313
"Navy","Navy",43985137405,41939949844,40644252613,37382740962,40131281740,38631559907,35472291538,36232822383,37261611868,36778132656,40298543522.9593,41940611230.7679,47787997912.3728,56619600369.5753,60624157342.1582,65284982030.2815,74324660047.1155,84721454284.6528,93702223652.865,92072835932.3602,86214798268.911,99171229641.2132,89920486396.6545,81817021262.7172,80331823372.8819,73495343308.9281,82830967699.4871,85325840512.4266,92253656745.2818,104752022158.337,114342825735.297,101809073603.471,103130102390.687,115511114931.776
"Other DoD","Other DoD",3331053000,4011846000,6143930864,5954890298,5819411448,4502738942,4707639584,5189919865,6464405532,7023124985,5956028175.0544,7495657034.3578,11345958994.187,14559345718.6315,14824923354.3145,17116613642.0034,19297161060.7352,18557469954.0458,23312784716.054,27105720171.2599,27925322341.0966,31995816542.2591,32485509805.7394,28922992124.116,29570606135.541,28068291845.3985,29100830021.3758,30788405310.0002,34032241732.0372,37863547323.4375,39301575522.471,38265248079.4824,40813856151.6022,42888197823.2697
