"UnmodifiedUltimateDurationCategory","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"<=2 Months",,,,,,,,,,,74734263.2115,651380311.6253,2369331099.6546,389472349.0247,926767810.7713,2068972362.7543,9040956617.9254,28856537609.4008,32918075773.2283,27981624445.2773,26916948312.8638,25381059794.7938,23781236602.951,19497175336.1248,30744190284.6907,27640767677.3332,28807000700.5906,29406916248.8912,33682363136.9994,28537357724.827,28280428246.215,29217464869.0707,36768744492.4267,35866308853.3797
">1-2 Years",,,,,,,,,,3325939,1135593048.9812,4073193632.4718,2801053888.6658,5596788703.4387,5970437340.4126,10006109627.2385,16988292857.9503,49557963726.3316,64642941835.688,58098643257.0653,67756921458.8457,64575747345.7738,67595393425.143,51484301339.8842,41629203081.7025,43097580358.3998,47378754022.3691,57485126680.2272,65151912922.4511,72644543852.8073,93453038550.4417,59821074027.5788,64994474219.4722,68481733084.6695
">2-4 Years",1135000,3869000,,2766869,1621810,486569,262350,,,2850000,2488488999.5,3599840088.1738,6015953476.0031,7646423798.3568,12781940166.5436,12707129305.2915,18382045134.1066,43013018845.1704,61456442976.9896,64889783985.1913,63572407065.2249,63728548103.9943,65983640595.1122,67211134917.3349,58281307207.8006,58315355386.1029,65807704779.3839,68217966167.0995,80288950328.7238,85770574912.6139,82014106010.0969,72939639695.5639,80313789564.7666,89778421220.0439
">2-7 Months",,,,,,,,,,,343143083.9819,512987622.1616,1555406580.2656,3214731746.0247,3670535010.3677,7146022773.0194,13410079539.1641,32693496752.3323,41338416839.809,38889201730.5229,41830329250.2352,45943085309.8793,41274574111.2405,27696084407.0696,24167197519.375,26163704965.6678,24483600183.9948,33313188457.7358,28211687367.8067,25030868434.1995,28385087232.3506,33340717530.8196,35042199201.2074,28416003107.7987
">4 years",1499432000,237541000,364081104,313330343,543901007,665199848,7555413,38487552,1052459050,986981234,5017460203.1224,8192697201.2665,17486083739.8113,30631888746.4587,40530857470.8198,51826794137.3968,65802878622.2959,81097959961.1024,94140306524.4107,92793319747.1754,82610307060.0663,90761159336.0793,91077193305.2115,86210083967.808,74260515794.5409,67799824325.1675,79367863107.4402,81619262660.3654,95357389196.199,117059090928.897,126405243988.628,118993315876.376,128962993546.785,169358749192.801
">7-12 Months",2200000,387000,2335875,4100000,1450000,6e+05,-245000,,,,995882938.2904,1727062270.7531,3828081479.2755,8312847280.5822,6488614271.6003,9320351005.8188,14305442867.5493,41151929253.5699,53101507561.5764,62151834436.6196,66264680920.1594,67146619592.9186,62581435363.5812,50857444903.498,51567430494.4379,48753708679.7811,50300319393.6406,49862787751.9017,55097328272.2253,54976772204.4665,63824372022.0734,71891546335.4883,67999359130.6915,64110104150.2955
,118847362405,135912396844,123040243571,121053184930,116614929908,115925728451,118441206335,115943664327,115913423117,121191879315,122123183969.3,125236477495.875,135754610872.809,155740934679.975,159405879751.4,172589139490.937,157235490704.126,51783516705.5844,30390394573.127,22845657876.5749,13744751169.2694,11027439386.0527,5499831645.3876,5272188390.4106,2799693445.002,2455298878.0945,2379531416.7751,1949828809.8837,1040477910.3691,-43582714.495,385368687.1303,1499314532.9273,414380266.7902,235412261.9706
