"UnmodifiedUltimateDurationCategory","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"<=2 Months",,,,,,,,,,,74734263.2115,651380311.6253,2369331099.6546,389472349.0247,926767810.7713,2068972362.7543,9040956617.9254,28856537609.4008,32918333257.7996,27982781956.5677,26925101823.8642,25383249734.8523,23787502633.623,19379007554.8761,30747380744.5107,27795154129.3778,28805779377.7706,29380095861.5903,33679774859.5694,28524917595.697,28188037094.745,28916592990.3707,36726212081.2067,35866308853.3797
">1-2 Years",,,,,,,,,,3325939,1135593048.9812,4073193632.4718,2801053888.6658,5596788703.4387,5970437340.4126,10006109627.2385,16988292857.9503,49557963726.3316,64643593135.688,58097990671.3053,67758147379.2357,64586495747.2838,67600259891.7727,51210243620.4042,41657813363.9425,42835460844.3285,47589798534.4249,57435706375.6419,65154109617.7211,72632741246.7473,93441407616.2817,59725303964.9188,64977354912.5522,68481733084.6695
">2-4 Years",1135000,3869000,,2766869,1621810,486569,262350,,,2850000,2488488999.5,3599840088.1738,6015953476.0031,7646423798.3568,12781940166.5436,12707016796.6515,18382045134.1066,43013018845.1704,61456442976.9896,64889783985.1913,63572657191.7349,63725600442.4643,65815030221.4321,66964751367.6749,58309981851.2406,58366416459.388,65535918612.6766,68125145752.3103,80279591310.8038,85738902157.8339,81988285081.9869,72842293355.4339,80274934049.5966,89778421220.0439
">2-7 Months",,,,,,,,,,,343143083.9819,512987622.1616,1555406580.2656,3214731746.0247,3670535010.3677,7146022773.0194,13410079539.1641,32693496752.3323,41337811890.809,38889271201.3227,41827647762.2652,45954725921.5003,41292253704.7036,27488772706.4096,24165486123.675,26130195725.889,24403666498.5291,33231364527.172,28224110474.6967,25023676257.7595,28381856145.7306,33301388814.7596,35031099866.5774,28416003107.7987
">4 years",1499432000,237541000,364081104,313330343,543901007,665199848,7555413,38487552,1052459050,986981234,5017460203.1224,8192697201.2665,17486083739.8113,30631888746.4587,40518316023.8198,51825215497.3668,65802878622.2959,81097959961.1024,94140385147.4107,92796320086.1754,82611474288.6061,90735366329.7512,91052858783.2865,85768400643.238,74125425586.7234,67822450560.4621,79361724301.8173,80859143885.7745,95341873588.239,116946358107.857,126342295963.308,118730610616.246,128838260117.925,169358749192.801
">7-12 Months",2200000,387000,2335875,4100000,1450000,6e+05,-245000,,,,995882938.2904,1727062270.7531,3828081479.2755,8312847280.5822,6488614271.6003,9320351005.8188,14305439657.5493,41150939292.5699,53100621923.5764,62151502528.2763,65971425889.1494,67153848761.3261,62588165748.7813,50544463167.548,51547540465.2048,48772289059.0484,50288505272.3723,49652639879.9378,55249902000.4253,54817389440.3165,63789606036.7334,71837220134.9483,67956721736.6515,64110104150.2955
,118847362405,135912396844,123040243571,121053184930,116614929908,115925728451,118441206335,115943664327,115913423117,121191879315,122123183969.3,125236477495.875,135754610872.809,155740934679.975,159405879751.4,172589139490.937,157235485520.126,51783516705.5844,30390903944.127,22845657876.5749,13737414506.1522,11026629023.9841,5500359671.9876,5225413282.5306,2730732489.202,2462474988.1306,2376393030.8013,1932163982.5914,1040477910.3691,-43582714.495,385368687.1303,1499363278.2273,414380266.7902,235412261.9706
