"AnyCommercialText","SubCustomer.platform","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Not Classified
as Commercial","Air Force",,,,,,,,,,,34167200909,35587628817.4063,39412403811.1063,45679579567.3955,43320062640.5021,45895959193.726,54527316626.3679,60156713753.5426,54574561260.0185,58294718450.8071,55950303069.4301,56996007969.6549,64296835173.7534,48953014204.9776,49792530323.1,47191130088.308,58311052464.4936,54103642836.0226,63656726520.3841,67143097255.625,67322006917.9232,67154872453.8602,66299174514.9487,79172168690.2978
"Not Classified
as Commercial","Army",,,,,,,,,,,33175477467.8834,36081259057.9466,39070820515.2649,53046233230.4464,59348341342.5484,81315024984.1322,82547865610.9366,91210700550.1017,118287941837.078,108171917018.517,117601584919.855,104810893921.307,91960941622.0607,73684607240.5115,62842732660.935,59572352637.3929,61522357113.7479,65140682695.4036,77428971235.7483,79605508585.6864,82333525902.7417,65166973775.3878,69127490536.7796,94727263202.2558
"Not Classified
as Commercial","DLA",,,,,,,,,,,3999495821.298,4428776959.7583,4866490814.8973,6327648200.787,5952507044.2322,22207613098.4358,23032741387.4156,10926781477.7341,8627126893.5255,11195573443.0599,13163928252.7475,13183717740.6792,13608508094.8106,11442316638.4126,12077899210.498,13745310050.7402,16438127059.0322,18274013548.4503,22528833974.062,22509597598.1011,19577591474.7389,16150344473.8575,17707652952.0316,19002748369.6657
"Not Classified
as Commercial","MDA",,,,,,,,,,,1372578894,1669843243,2458962108.825,2619690623.3438,3320365268.9938,3768654979.1375,3413408847.4845,4812450439.2833,5665058027.96,5493856730.5141,5236754362.5944,5317961275.1458,6850619285.6596,7685922383.4316,6035561981.5689,4672877628.9347,6563960743.3524,5378976320.931,8243243651.1241,8735712703.1404,12246726512.6606,8738606034.1582,9764718287.1832,7005525239.0214
"Not Classified
as Commercial","Navy",,,,,,,,,,,38162302273.2196,39620067736.1256,42689066735.6835,50341249207.1238,53265710581.4183,59567618462.9356,67813535473.3152,76313070972.2821,87669448494.8804,86709785860.7732,80241955843.6093,95943891257.5294,87946941474.5244,87736562134.6864,78119497069.6506,78439781863.5465,86578215001.1936,102877890421.018,100960285278.139,113670817560.814,141818806611.614,103164834469.226,115242194911.742,141579728146.178
"Not Classified
as Commercial","Other DoD",,,,,,,,,,,5124083333.953,6275910906.299,8264606002.176,10703281172.7257,10222388706.2947,12874735863.9418,14002834463.3996,13485834379.7548,17731941582.7705,20674062587.9481,20111499290.916,22832174332.7942,22613294626.3291,20528300800.805,21149436649.4666,19956469040.6976,20593568342.9157,21553036860.4674,23182484244.836,25714878418.0502,26455672684.005,25579217564.5432,27029957313.0627,27530856630.2453
"Non-development
or Commercial Similar","Air Force",,,,,,,,,,,0,0,96463622,152546003,395301213.29,133173391.125,27481406,28084285.1531,46336957.4171,37948239.0915,46986030.5986,227243886.9732,235708812.7472,82389110.695,24938242.39,18097153.0054,10529618.8776,914700.1268,443717.6308,35946.4902,3186519.3562,24597926.0246,36594834.42,34072496.5721
"Non-development
or Commercial Similar","Army",,,,,,,,,,,1319748,-326562,66788370,97672809.4297,322399610,560522486.24,358187275.2813,625933881.9439,736925148.0199,541068780.7656,142683653.7002,212299272.0439,267919169.5998,227886363.3714,74259354.6449,44031086.6887,54646283.963,20866051.5345,105175015.7158,101682448.5098,-2040216.3532,145468.8989,-3434867.5589,-931190.0339
"Non-development
or Commercial Similar","DLA",,,,,,,,,,,24935010,,56160,8006128,2269047,13605860.47,24234661,49730045.8701,45876418.68,21471821.9168,22838707.3105,52176061.0384,23133492.8503,125045017.83,15332494.56,26228299.3504,10327549.8218,8514832.6742,24969463.4404,-2042510.3701,12602145.2578,64812798.2256,11082560.38,16030443.8968
"Non-development
or Commercial Similar","MDA",,,,,,,,,,,,,,,,,,,,51312235.1602,5e+05,,,,,,,,,,-1007.98,,,
"Non-development
or Commercial Similar","Navy",,,,,,,,,,,,,49690772,533648388,287858343.25,237196295.61,96580266.4045,3982736.3001,11657089.6929,2409556.5923,41044379.4955,398019612.9663,44811839.4983,38029066.2519,39009352.5426,26633111.401,30193047.4454,13561319.8376,26729499.4712,27810959.0586,12530350.0626,13623111.6432,92693.9795,21274.8599
"Non-development
or Commercial Similar","Other DoD",,,,,,,,,,,5400,4324,17944654,17306067,103595757,9801914,10447743.5,17004808,21920973.9498,11004235.2612,134115500.0419,175932802.7689,149958888.5765,111012147.0852,124308597.2451,3462144.6209,-617116.0118,-663050.9494,-5363995.298,-108740.5397,5306681.4283,3935722,5507470.25,2153029.04
"Any Commercial
Classification","Air Force",,,,,,,,,,,3791701534.9792,5045417819.2033,7894253339.671,9725009432.7203,11341331929.0041,9550824014.905,8584645594.3449,9692339065.9185,9029759538.177,9477552244.3287,8908396644.4646,8248211041.3128,6960800411.8039,6027087360.5185,5990987135.5482,5751628771.2103,6766531351.8695,6899703140.259,7705518513.9267,8708233552.0813,10606554875.2072,11888035164.5346,12535716235.5221,13442681786.9918
"Any Commercial
Classification","Army",,,,,,,,,,,3655689612.8933,4474549082.1552,7041221491.1607,11062641633.7627,16387229518.0448,13751348898.323,18772123074.8731,26526079662.703,34092641975.1361,24571239491.8585,23433819538.7999,20487733706.6731,16749418999.6892,13212081084.9988,12526218879.7042,13104355730.1829,12790542600.7946,13445691331.1892,14013485707.1205,15395116281.3344,18324994823.67,44711169569.0155,43521860503.0416,17509601581.3083
"Any Commercial
Classification","DLA",,,,,,,,,,,5556183332.3198,6997694567.0318,9724749053,11343338363.5085,13664863852.1473,5693585327.0071,9541925886.5632,19663253528.4368,27046273919.536,26808375975.9158,21761416153.9426,22920784582.2209,29558367641.924,22202238959.1893,20189843309.6169,17089318581.3999,13793171591.8253,17054435924.3491,22920196056.0135,21684227094.437,22361697203.5282,22917008090.2635,30431715564.773,30673387180.3413
"Any Commercial
Classification","MDA",,,,,,,,,,,1301022,3167673,27002767,51804452.75,62557695.5859,73091282,79218294,116579183.3834,95204838.6029,128253786.8581,119697404.4413,64185257.2336,26383148.1636,17086448.5319,15285505.31,15622163.493,25120862.6686,34287538.6268,50057987.1008,77026977.8304,80492322.8217,78259983.6057,76348999.9757,73229863.3099
"Any Commercial
Classification","Navy",,,,,,,,,,,2314272705.7397,2589179235.6423,5032730828.3493,5973518634.5415,7266692376.5837,5777381221.6734,7048738158.2358,9470259355.7933,8746010989.7624,9040548732.1951,7814589965.1818,7706556669.6649,6620213799.5622,6223635414.1589,5969658968.8887,6417311433.197,6365383890.7008,6571762902.5951,7218356447.3694,8075789739.8948,8468505605.9735,8456418226.072,8625403937.8668,10095209755.7029
"Any Commercial
Classification","Other DoD",,,,,,,,,,,831939441.1014,1219741804.0588,3063408338.011,3838758478.9058,4498938891.0198,4232075864.0616,5283878853.8356,5054630766.291,5558922159.3337,6420416591.2906,7679878762.3184,8987709406.696,9722256290.8338,8283679176.2258,8297418935.8593,8108360660.08,8507878794.4719,9236031500.4822,10853441150.9874,12148190335.4166,12840105856.6571,12681461868.3142,13778391368.2895,15355188163.9844
,"Air Force",41032316000,43625084000,38602723036,39452449414,43554730825,37076749369,39081089944,34943056076,33653688998,35246060466,,,10763955,,,,,,,0,,,,,,,,,,204072.7031,1270102.8433,,,-96821.0594
,"Army",22813033000,34893842000,31113808998,30657778464,20628301908,29493441926,31662201213,31185929950,31088689272,33772526734,,723958.7002,33600,43078.51,0,,,,,-100,-16520.32,-1.11,,0,,35878.5,32130,,12882973.8295,42904827.7756,34933135.8281,20626172.4725,12038080.1278,10615317.9705
,"DLA",9188590000,11683472000,6901945039,7925523004,6684428944,6635930451,7225251729,7958666470,7294689216,7746287061,,,,,,,,,,,,,,,,,,,21494,-737745.8633,9778191.0314,16067326.1762,16114643.4848,13872945.1204
,"MDA",,,,,343747860,251594273,300305090,388928264,552081489,925862742,,,,,,,,,,,,,,,,,,,,,,,,
,"Navy",43985137405,41939949844,40644252613,37382740962,40131281740,38631559907,35472291538,36315651254,37912327660,37471174500,0,0,23064198.34,11111831.91,76558,614416.0625,14326.16,4000,484171.86,1555865.8,-7935905.9399,417165.57,317883.2002,158791,0,1435443.875,764297.23,2911392,41700494.7109,1869421.03,2119632.52,21130032,342491,3405765.29
,"Other DoD",3331053000,4011846000,6143930864,5954890298,5819411448,4502738942,4707639584,5189919865,6464405532,7023124985,,0,,0,,,,,,236756.76,-171212.1797,,,,-558047.03,,,,1680331.5118,587310.5104,490300.3806,632924.625,,
