"program","Active","Conditional Commitment","DISCONTINUED PROJECTS","Discontinued Projects","INACTIVE CONDITIONAL COMMITMENTS�","PROJECTS THAT CLOSED ON LOANS BUT RECEIVED NO DISBURSEMENT","Repaid","Unknown"
"ATVM",2.602e+09,1.3652e+10,5.79e+08,,2.59e+08,,7.815e+09,0
"Title 17",2.6096e+10,1.438e+09,1.27e+09,4.59e+08,0,2774978000,1.368e+09,45600000
