"program","Direct Loan","Loan Guarantee","Loan TypeLoan Guarantee","Partial Loan Guarantee","NA"
"",9.2e+09,,,,
"ATVM",1.4869e+10,,,,8.38e+08
"Title 17",,2.129e+10,3.43e+08,7.269e+09,4549578000
