"Shiny.VendorSize","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Big Five",2657105815.8438,3383669264,8575705206.9,7389651021,9171169053.5298,9614582308.7142,11145919572.3294,11368649989.3769,12366204794.535,13551846391.3266,9211000420.1981,18439526213.17,8268149537.0916,7668060525.2378,10435149411.3929,8332116608.958,10008575288.5245,9357668832.273,9937000489.306,11018540629.1296,18139926298.4588,11360709241.8462,13062679942.4032,14776514435.3008,12892240016.5,9035747595.15
"Large",4561803942,1732138382,1987118076,3276668127.22,3851048726.7372,2398003610.0652,3473784700.9797,3282840458.7666,4676842899.9859,4671529148.2149,4440388761.8112,5503089485.2526,10875815496.3795,11551060990.6684,9459213951.031,8821131432.1749,9316422896.6947,12707544533.6025,12827662766.8006,13454515995.3545,13693653776.4969,12920444688.8671,11508301776.2319,14088513649.5445,13620071598.2919,7614254598.24
"Medium",2255538982,6611072958,1309424726,1172902123.1204,1204865869.2972,1323434786.3907,1009416504.5345,1082470571.3778,1279079176.9498,1830854643.83,1978946861.1612,3595866902.1085,3325834326.0315,3005705302.5604,2629656814.9456,2284620959.6053,2874544222.1995,2618876745.178,3804757921.5532,3860202189.0177,2609516099.7267,2675618639.0646,3931994522.5141,3473840306.4105,4106192366.6286,1230892233.23
"Small",1171431333.62,1127451872.39,1273071256.9517,1709863396.038,1528409791.5083,1531503585.7993,1825633546.0547,2013066406.7194,1958330238.5517,2534645090.0229,3015671013.4851,2962054155.534,2959801779.6187,2666786268.4171,2838948916.7532,2956292031.4322,3387014287.8203,3778543485.09,6057343622.9266,6360751545.841,7062490735.8285,6646385373.7183,7238891292.2772,9398167438.9294,9664743663.1904,3705716072.44
"To Be Labeled",55742257,46347174,77103764,151284751,66076503.4,66210459.01,92786068.767,111334061.8746,92069280.4898,96598480.9254,113299185.8642,267084280.0466,-90720729.9625,104410085.94,183317307.5625,116226589.32,153392438.9484,217198861.1917,184182636.4875,397227817.4816,180733063.658,441046847.007,434382513.7262,401584791.2934,905808332.77,509888513.59
"Unlabeled",,250324,117518000,2970000.04,1775940.4831,13277688.925,3575283.6904,50185673.5201,43983015.17,39736643.2165,12691583.2115,22384939.8505,6671002.0482,5942520.7791,4609071.2507,2890550.47,3631858.6928,3568059.9089,1810237.5866,979700.5692,2236364.78,3742794.51,2763242.34,4725547.77,1623193.05,247325.85
