"Vehicle.AwardTask","Vehicle.sum7","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Award","Definitive",9481183230.8438,11512972133.39,11674387189,11433429585.24,13683506328.34,12188503102.33,14689116637.1,14948515802.51,17388305656,19619058414.54,14911523265.1957,26755650517.4692,21066745426.1915,21041464133.5129,21316828244.2756,18309694755.1969,20903644215.4864,22969215251.3634,24454630106.01,26611468390.16,33037284601.17,25026379497.74,26298349828.47,31247721386,29566468759.63,17661279963.07
"Award","Pur. Order",201419093.62,310399912,219434583.9,294253210.71,297744357.68,468099441.06,403512679.23,412841607.39,495594765.35,522831429.37,581898329.542,667998266.9239,638918543.0488,676650891.0036,818536441.3977,839679527.245,887118945.2387,911477168.1465,1188627071.71,1091024506.87,823522573.89,938192465.19,1166974756.24,439534584.77,367800352.58,137998751.88
"Task Order","BOA or BPA",6677932,6518769,7141643,5941612,4409371.5428,10430436.849,14050071.8169,21101394.985,13215469.7501,20350274.9724,67376480.5965,251873009.9189,384768675.4566,493458239.9298,656481213.9728,732279300.7383,699034282.0317,677523838.6914,913212914.41,778439179.3173,788508209.6244,744410337.5644,939975580.1618,1226292041.7844,1112755170.168,381455019.56
"Task Order","FSS or GWAC",38523877,63966838,128196523,137291342.4961,156422855.0136,125116299.2453,152942069.9149,243618486.9054,188691767.8326,217761819.5859,147779256.5018,109365136.1508,176033733.0689,80009436.9263,86464302.8651,59039583.093,45621496.3788,30263602.7182,28223100.4992,52893177.5191,35521617.8706,47525611.3729,23898324.1432,32597714.6891,34854046.1,11771554.3
"Task Order","Multi-Awd.",133374067,103554275,131319695,304041778.1104,343707809.9305,502138445.9723,783628326.5416,612877705.4177,637083524.4876,601457128.687,882666775.2107,916788182.278,818567947.2946,750438449.898,857817783.4937,577764483.1224,766420150.8555,1163158811.4356,1748199562.6813,1418524994.2413,1635231053.9926,3993959906.5448,5322239754.9752,7126371871.6685,7754762296.9104,2922200001.86
"Task Order","Single-Awd.",798736941,880697231,1146552597.9517,1520516777.8619,1330970761.0387,1646844250.87,1504198373.0632,1667626279.6968,1693719627.8089,1743748430.381,2181393908.8846,2088343094.2214,2260517086.1466,1959944542.3322,1814767486.931,1994820522.5648,2441741902.8891,2931761844.889,4479864919.35,5139867629.2859,5368488282.4013,3297479766.6011,2427575045.5024,2070828570.3366,2354038545.0425,982041047.83
"Task Order","Unlbd. IDV",41707189,22820816,32908798,7865112,6584401.41,5880462.5778,3667518.6891,1965884.7305,-101405.547,2900,-640190.2,-12231,,,,,,0,,,,,,,,0
,,,0,0,,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0
