"SimpleArea","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Products (All)",6891759655,7171711803,7553322587.9,8450117410.9371,10842281982.0451,9538379941.7711,11574405385.3725,11272577409.2411,13999367624.4141,16855173629.6492,13789767323.3705,25699196644.449,21018486196.1042,20629068581.2138,21018068530.8509,18277182325.4285,21243406105.3,23703479658.5539,26136254608.9718,29003624735.8341,35524998976.6339,28485130942.6396,30840890277.4704,36056174590.7581,34689042894.27,18895245594.88
"R&D",1008492053,1906171377,2001092067,1824674470,1458236165.08,2415303570.72,2935945402.5074,2739595489.9818,2625022314.6091,2027767889.4363,1249469239.932,708640583.3877,399413489.0778,353948001.8156,206081249.1587,198200312.17,299137710.4555,647463574.8093,731778235.7931,714322014.0435,448833835.9255,83811091.9157,51731596.2024,45510561.39,30638701.41,9041415.49
"Services (Non-R&D)",2801370622.4638,3823046794.39,3785526374.9517,3428547537.4813,3522827737.8305,2993328926.4133,3040764888.4758,3896374262.4125,3792119466.659,3842268878.4508,3732761262.4288,4382168748.1255,3927651726.025,4018949110.5734,4326745692.9263,4037895534.3619,4201037177.1247,4332457283.8809,5944724829.8956,5374271127.516,5714723526.3895,5479005550.4579,5286391415.8198,6041661017.1005,6470997574.7509,3192459328.13
"Unlabeled",0,,,,,,,,,,,,,,,,,,,,,,,,,
