"PricingUCA.sum","PricingUCA","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Cost or Effort-Based","Other CB",4063973565.8438,6678054616,4318650564,5267362710.8104,5130630344.3486,5471953790.9815,6092217048.2951,4668009207.2886,3011787167.0807,4428298768.1462,5513622246.9721,7585429770.088,6772864454.6236,6147017375.5257,6552854387.7061,7155688936.9334,8202096776.069,8094592507.7635,6169177491.1856,6503437537.5062,6776504210.3704,6304085922.177,7583242891.492,7191890322.607,10728127453.86,5519422627.05
"Cost or Effort-Based","T&M/LH/FPLOE",48271562,62656049,66496328.9517,175497065.1309,113690007.2505,141400787.2404,64890617.0894,25672129.3259,31637351.7289,33010173.6659,42821898.1155,68596298.4981,32286669.2074,17597521.5866,22559164.5872,9245788.2706,18060865.9563,16561252.1871,5845389.1595,-1397266.9465,362036.9537,-181643.5966,1660244.3238,3224950.0979,2888381,1604972.95
"Crosscutting","Combination/Other",,,113292663,1404035,271868.67,8743837.7952,242824698.6599,3952798480.4128,5704228145.4449,6031947575.7941,7981466.9452,225213.1909,-311586.2214,332520.6702,-67390.9,0,0,0,0,,-2164.04,0,,0,,0
"Crosscutting","UCA",257328243,1471419460,1356563765,396948295,679582544,746979016,1682732766.4,1829593317.0102,1723702277.8862,2054578800.8518,2675469154.792,1044296283.5448,1055736139.6904,1301803656.9599,1451486078.244,224198003.2687,1142809548.1069,1639270679.1676,4214490785.1537,3683528636.6567,3444465930.0892,2773551941.4792,1231026560.0834,4190504717.032,5754165577.18,2438665691.27
"Crosscutting",,1716508234,-152182354,399130964,496792916,748405211.0031,307864192.0208,263164692.1406,219305851.6312,2390284792.9565,897657332.1725,8034953.9262,85777.5302,3650078.7001,121990.46,5241957,3743269.39,-139978.2499,-115865,-7500,0,-2500,-2500,0,0,0,0
"Fixed-Price","FFP",2518286664.62,1693000286.39,2270029408.9,2960246239.4371,2578842371.8764,3013799904.6298,2674404065.7624,3454795941.4383,3257833995.7429,3738229512.2458,5066335212.0027,4959214790.0123,5508048762.386,5568859247.1804,5465317651.3003,5534164439.4189,6753602435.6119,7559009693.9281,10985817107.6941,11042200555.468,10340272306.5741,11481142664.1016,11244789718.2317,12742635819.5817,12201611867.3409,5456805355.33
"Fixed-Price","Other FP",112146597,256902254,70331488,227017515.04,123380644.957,235938121.2767,203042283.4277,209764967.0184,327944211.8964,62844758.3728,289165581.3668,623521527.0504,551419125.0522,560348229.86,179222589.1901,102491801.7465,511646419.1339,382101450.4552,390165053.0746,426952328.5946,359074383.7627,307899591.0895,174083305.3511,229032824.2324,142793725.9,59132866.33
"Incentive","Incentive",1985107464,2891079663,4745445848,4178070642,6448542892.85,5020332788.96,6327839504.5806,3548607267.51,3969091462.9457,5478643476.2872,5168567311.6108,16508636316.0475,11421857767.7687,11405885151.36,11874281035.8082,9483745932.9323,9115504926.2521,10991980798.7426,11047269348.393,13437496086.1146,20767882135.2388,13181451609.7625,15944210570.0106,17786057535.6976,12361092165.15,8621114825.57
