"SpaceParentID","TopCAU","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"MDA","Other Labeled",27500,-1458.35,1458.35,50000,0,,,549996,0,99000,22653,,,,,,
"NORTHROP GRUMMAN","CONT_AWD_GSFC0200211DNAS502200_8000_-NONE-_-NONE-",218089909,274800264,257097637,243863805,250573636,264182904,325376135,360243395,327284059.6406,312486117,304918553,246126756,149439225,196449352,162151906,27972839,2814501
"NORTHROP GRUMMAN","CONT_AWD_NNM07AA75C_8000_-NONE-_-NONE-",,,,,,,,,,,,,279211566,278211475,174381428,139061446,124681068
"NORTHROP GRUMMAN","CONT_IDV_80MSFC20D0008_8000",,,,,,,,,,,,,,49500000,80200000,153301307,257354229
"NORTHROP GRUMMAN","CONT_IDV_NNJ16GU21B_8000",,,,,,,,,,,,,388988184,459245027.08,395333758.64,459709584.73,480760164
"NORTHROP GRUMMAN","Other Labeled",9493950.88,23383990.7,50463648.27,12697454,18956417.3101,15097427.5625,13804783.24,11348457.21,1467367.7096,4347524.7158,2334671.3281,4823897.59,154220062.2298,52638960.3693,67366839.5098,39391811.3194,43076929.9619
"ORBITAL SCIENCES","CONT_AWD_NNK05LB04B_8000_-NONE-_-NONE-",104129,0,3766000,41060676,27909662,-468059.2968,2277781.27,224007,,,,,,,,,
"ORBITAL SCIENCES","CONT_IDV_NNJ09GA02B_8000",,,62625000,142579000,262323668.37,328494150.24,114507389.54,522356846.96,,,,,,,,,
"ORBITAL SCIENCES","Other Labeled",-4e+05,26922940.65,6365778,6300179.2344,-7044173.75,-579541.0625,2554052,21827418,,,,,,,,,
"Orbital ATK","CONT_AWD_NNM07AA75C_8000_-NONE-_-NONE-",,,,,,,,,239032007,261232007,264280295,287302630,,,,,
"Orbital ATK","CONT_IDV_NNJ09GA02B_8000",,,,,,,,,306772091.17,589453357.33,335511731,122343944.32,,,,,
"Orbital ATK","CONT_IDV_NNJ16GU21B_8000",,,,,,,,,,6217000,104196768.5,134535231.5,,,,,
"Orbital ATK","Other Labeled",,,,,,,,,65162024.81,33989623.4302,63232684.6988,60106132.61,,,,,
"RUSSIA SPACE AGENCY","CONT_AWD_NAS1510110_8000_-NONE-_-NONE-",100040612,199782273,387192261,341238820,414009402.3398,586488883.3809,285001263,312278472.29,459872927.3633,235823637.5215,254927244.2813,127459133.88,184529617.64,136408443.41,3413944.54,2504481,6014852
"Rocket Lab","CONT_AWD_80KSC020C0002_8000_-NONE-_-NONE-",,,,,,,,,,,,,,9493990,456010,0,115500
"Rocket Lab","CONT_AWD_80KSC023FA107_8000_80KSC022DA107_8000",,,,,,,,,,,,,,,,,13647000
"Rocket Lab","CONT_AWD_FA881823F0023_9700_FA881820D0008_9700",,,,,,,,,,,,,,,,,336500
"Rocket Lab","CONT_AWD_NNK15LB18C_8000_-NONE-_-NONE-",,,,,,,,,3025000,3925000,0,0,0,0,,,
"Rocket Lab","Other Labeled",,,,,,,,,,,,6530871,0,325149,0,0,0
"SIERRA NEVADA","CONT_AWD_80HQTR17C0009_8000_-NONE-_-NONE-",,,,,,,,,,,3400000,7150000,3412924,5523448.76,3949508.16,54012.06,677265
"SIERRA NEVADA","CONT_AWD_80JSC021F0074_8000_80JSC017D0018_8000",,,,,,,,,,,,,,,1160000,3333966,1303698
"SIERRA NEVADA","CONT_AWD_FA881921F1005_9700_FA881921D0430_9700",,,,,,,,,,,,,,,5064000,6736000,4541000
"SIERRA NEVADA","CONT_IDV_NNJ16GX07B_8000",,,,,,,,,,73715390.2,112242299.24,293553520.95,105837363.83,334642586.63,41026609.46,131474349.31,44254333.65
