"SpaceParentID","SpaceArea","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"ABL Space","R&D (Defense)",,,,,,,,,,,,,,2300000,7e+05,1499952,16049988
"ABL Space","Space Transp. and Launch",,,,,,,,,,,,,,,50000,0,1005000
"BLUE ORIGIN","Other Services",,,,,,,,,,,,974734,0,,,,-0.39
"BLUE ORIGIN","R&D (All Other)",,,,,,,,,,,,,3922893,2151857,1568613,2280605,0
"BLUE ORIGIN","R&D (Defense)",,,,,,,,,,,,45000,,,,49941,
"BLUE ORIGIN","R&D (Space Flight)",,,,,,,,,,,,,1322259,229667445,274331818,10735715,425009984
"BLUE ORIGIN","Space Transp. and Launch",,,,,,,,,,781920,664628.461,352325.9649,1239860.9752,1272636.1484,4600001.5996,4387858,15834404
"BOEING","Other Products",61514020.5,61202638.49,71474948.01,148234101.625,28968077,43209850.9062,7328828,3925149,8222176.4,6200235,4894643,2112575.2812,2659740.08,0,-156261.18,-700922.54,
"BOEING","Other Services",,,,3085722,3318120,3091084.9287,3091398.96,3175947,12159339.04,10862126,9668598,9240105,9559443,8314434.45,9211813.21,7095109.53,
"BOEING","R&D (All Other)",8521487,277083099.12,340167121.79,245664813.125,91162776.0074,147568635.3125,160003179.28,52434239.04,43563273.19,31083932.0078,26731987.1094,15124989.13,5301877,5148448,1355169,-235000,690625
"BOEING","R&D (Defense)",377619500.91,309908456.48,128239194.51,159406014.8555,459863665.3124,1152381918.3673,29280290.95,5759560.81,548744.23,81498693,53269689,4180986.54,361360503.61,427008317.578,69222179,3971061.515,59573756.6406
"BOEING","R&D (Space Flight)",65613136.21,112906964.6719,89692621.47,253915041.5391,274252189.6949,572159153.8001,633656668.13,674866931.0801,683099319.9782,836309292.2559,815172062.6988,903501355.5998,815014039.5199,926945681.801,1066068565.7316,1248767866.435,1049823879.6201
"BOEING","R&D (Space Station)",460925325.8,492954370.62,572758597.53,645961364.5781,838285109.6289,480132594.75,673088788.0274,564206414.9893,543451490.7618,451164742.8147,491818328.3149,620137964.13,551398910.76,384202674.43,431166966.49,327795250.26,422660398.593
"BOEING","Space Transp. and Launch",,,,,,,,899757,49070000,77160000,154220000,263041664,210895733,21693423,7975593,83335,4e+06
"BOEING","Space Vehicle Launchers",724548,305760025,24239975,,,,,,,,,,,,,,
"BOEING","Space Vehicle Services",74539293.04,446074358.55,-266847.85,,,,,,,,,,,,,0,
"BOEING","Space Vehicles and Components",399770205.3,294480698.47,325687755.85,59608148.4629,74221013.5784,12685113.6466,131480917.94,66188832.98,126397404.36,139084218.0781,63634342.0195,38798172.28,105105390.8,124165458,144874500,110054611.82,81413302.5
"CALIFORNIA INSTITUTE OF TECHNOLOGY","R&D (All Other)",1728966480.6193,1781402847.6444,1738589980.7009,1653348261.8514,1629652202.9522,1671519359.4695,1709066992.4399,1717744631.47,1855991704.4418,2138382543.5039,2351888282.7874,2710349510.0436,3027284908.0944,2795297859.4254,2092851677.2255,1951396047.9532,1741262945.8455
"CALIFORNIA INSTITUTE OF TECHNOLOGY","R&D (Defense)",,,,,,,,,,,,43080,134000,120703,,,
"CALIFORNIA INSTITUTE OF TECHNOLOGY","R&D (Space Flight)",,,91694,,,,,,,,76000,80000,,4081639,242156990.9451,670644226.2074,1161676364.1914
"CALIFORNIA INSTITUTE OF TECHNOLOGY","Space Vehicle Services",3e+05,275000,,,,,,,,,,,,,,,
"CALIFORNIA INSTITUTE OF TECHNOLOGY","Space Vehicles and Components",,,,,,,,,,250000,0,3e+05,4021031,18862990,18674164,26044043,12480146
"Firefly Aerospace","R&D (Space Flight)",,,,,,,,,,,,,25000,,49899250.5,37869252,94871677
"JOHNS HOPKINS UNIVERSITY","R&D (All Other)",30955913,120399674.17,216046086,162526733,140868503,166739546,144289390.67,144255304.56,193402549.0802,214041122.71,153183291.62,272519366.06,154262635.8431,264046247.0625,185873213.9696,68600759.4528,43303498.4942
