"SpaceParentID","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"ABL Space",,,,,,,,,,,,,,,50000,0,1005000
"BLUE ORIGIN",,,,,,,,,,781920,664628.461,352325.9649,2562119.9752,230940081.1484,278931819.5996,15123573,440844388
"BOEING",142399593.25,864741348.2219,113665748.62,253915041.5391,275034920.6949,572159153.8001,633656668.13,675766688.0801,732169319.9782,913469292.2559,969392062.6988,1166543019.5998,1025909772.5199,948639104.801,1074044158.7316,1248851201.435,1053823879.6201
"CALIFORNIA INSTITUTE OF TECHNOLOGY",,,91694,,,,,,,,76000,80000,,4081639,242156990.9451,670644226.2074,1161676364.1914
"Firefly Aerospace",,,,,,,,,,,,,25000,,49899250.5,37869252,94871677
"JOHNS HOPKINS UNIVERSITY",1380500,,5172587,5832014,-308159.7202,-2924,0,0,3156.68,397037,810000,2025592,198207,-198207,86141574.125,322071693.9688,463730916.9551
"MAXAR TECHNOLOGIES",,,,,,,,,,,,499886,171812403.43,121743562.37,87770195.2,201860075.25,180401739
"MDA",27500,-1458.35,1458.35,50000,0,,,1839277,0,1202922,2983409,249996,,,,,
"NORTHROP GRUMMAN",227583859.88,298184254.7,307561285.27,256561259,269530053.3101,279280331.5625,339180918.24,371591852.21,328751427.3502,316833641.7158,307253224.3281,250950653.59,971859037.2298,1036044814.4493,879433932.1498,819436988.0494,908686891.9619
"ORBITAL SCIENCES",-295871,26922940.65,72756778,189939855.2344,283189156.62,327446549.8807,119339222.81,544408271.96,,,,,,,,,
"Orbital ATK",,,,,,,,,610966122.98,890891987.7602,767221479.1988,604287938.43,,,,,
"Other Residual",1685061788.0862,2593142493.053,2423843513.2058,2514938667.5159,2341718914.468,2135288287.0567,2048237658.2774,2201442956.4302,1980748526.9039,2171889558.2515,1964520342.1251,1843600482.2972,2275429703.386,2489006181.7078,2062801827.7945,2355862552.9814,3151409222.0004
"RUSSIA SPACE AGENCY",100040612,199782273,387192261,341238820,414009402.3398,586488883.3809,285001263,312278472.29,459872927.3633,235823637.5215,254927244.2813,127459133.88,184529617.64,136408443.41,3413944.54,2504481,6014852
"Rocket Lab",,,,,,,,,3025000,3925000,0,6530871,0,9819139,456010,0,14099000
"SIERRA NEVADA",,99819,,,,,8100000,1900000,,73715390.2,117113728.3963,301313676.95,109462505.83,342906798.39,51513908.62,143717224.37,51554353.65
"SPACEX",,20000,25657217.65,115342392,194582177.51,256277026.8,594242502.1,368133902.9,518605700.06,654559637.85,623730110.84,785807348.59,1222581413.09,1082467036.8,2139730885.4938,2736028134.8775,3077664003.0893
"UNITED LAUNCH ALLIANCE",,106995229,1544599932.52,1395411122.7453,1876076608.0599,2742905512.1884,1547922532.75,2883811754.9961,2094946023.03,1862794754.1749,2249254439.2,1737973086.23,1637040527.44,1294422079.47,722482965.2,1122698699,1057667922.039
"Virgin Orbit",,,,,,,,,,,,,,35050000,2249791,0,-210426
"WYLE LABORATORIES",-787714.38,,-5133.5698,705840,537941,984326,662137,-533595,9287760.88,113760190.43,124506842.34,138243172.07,142282971.62,150144801.24,153857506.88,,
