"ParentID","Vehicle.sum7","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"ABL Space","Multi-Awd.",,,,,,,,,,,,,,,,0,5000
"ABL Space","Single-Awd.",,,,,,,,,,,,,,,50000,0,1e+06
"BLUE ORIGIN","Definitive",,,,,,,,,,,,0,1322259,229642445,274351818,14048213,425822771
"BLUE ORIGIN","Multi-Awd.",,,,,,,,,,781920,664628.461,352325.9649,1239860.9752,1297636.1484,4580001.5996,1075360,15021617
"BOEING","BOA or BPA",,5339832,3151588,5800779,3602768,5511506,4043641.08,861081,164681.5796,-41332.8311,84163.3194,-12349.6699,-38125.9605,-5.83,5.83,,
"BOEING","Definitive",133096544.25,850357468.22,104448786.62,231008967,251971072.6949,547363416.8001,611878790.24,649267959.01,650376575.6803,831691694.4172,801676645.3188,899728634.95,807948209.09,920662731.33,1061765308,1238300366.06,1037687747.1201
"BOEING","Multi-Awd.",6714741,5030758,4999474,15679052,18930753,18176608,17282812.51,25517477.4101,32602525.9791,4708930.6698,13411254.0606,3783800.4799,7112648.5803,6266029.3005,4286455.8616,724253,1634578
"BOEING","Pur. Order",1973413,171100,965900,23734.5391,14965,793000,166978,48557.75,,,,,,,,,
"BOEING","Single-Awd.",614895,3842190.0019,1e+05,1402509,515362,314623,284446.3,71612.91,49025536.7392,77110000,154220000,263042933.8398,210887040.8101,21710350.0005,7992389.04,9826582.375,14501554.5
"Firefly Aerospace","Multi-Awd.",,,,,,,,,,,,,25000,,49899250.5,37869252,94871677
"NORTHROP GRUMMAN","Definitive",224456594.88,287287745.2,302972659.77,253972423,268465917.3101,278632009.5625,339007171,370218059,328096438.0221,315970554.7656,307116414.3281,250912740.59,472155838.47,495729301,386191911.42,176556217.74,155094527.0088
"NORTHROP GRUMMAN","Multi-Awd.",3127265,10896509.5,4588625.5,2191222,752000,528480,-1251.76,748798.21,296770.3281,433588.9502,-10000,0,499735815.5,490815513.4493,413032020.7298,489579463.3094,496133620
"NORTHROP GRUMMAN","Pur. Order",,,,99994,199986,124842,124999,624995,358219,429498,146810,37913,,,,,104515.9531
"NORTHROP GRUMMAN","Single-Awd.",,,,237620,112150,25000,50000,0,0,0,0,0,-32616.7402,49500000,80210000,153301307,257354229
"NORTHROP GRUMMAN",,,,,60000,0,-30000,0,0,0,0,0,,,,,,
"RUSSIA SPACE AGENCY","Definitive",100040612,199782273,387192261,341238820,414009402.3398,586488883.3809,285001263,312278472.29,459872927.3633,235823637.5215,254927244.2813,127459133.88,184529617.64,136408443.41,3413944.54,2504481,6014852
"Rocket Lab","Definitive",,,,,,,,,3025000,3925000,0,6530871,0,9769139,456010,0,115500
"Rocket Lab","Multi-Awd.",,,,,,,,,,,,,,50000,0,0,13983500
"SPACEX","Definitive",,20000,587217.65,754625,294921,0,8100000,5722179,961124,83422533,105953407.25,232991912.97,376085454.47,101949705.54,528293091.51,998528903.73,990355838.7376
"SPACEX","Multi-Awd.",,,25070000,114587767,194287256.51,256277026.8,586142502.1,362411723.9,517644576.06,419040999.85,437328869.59,467862659.62,742137221.62,708516141.26,735561013.14,732854777.21,688149527.5
"SPACEX","Single-Awd.",,,,,,,,,,152096105,80447834,84952776,104358737,272001190,875876780.8438,1004644453.9375,1399158636.8517
"UNITED LAUNCH ALLIANCE","Definitive",,106995229,1411002428.52,1394479108.5578,1865399609.0599,2543256944.1884,1354440787.75,2559483250.9961,1747203801.03,1556742332.1749,2082070477.2,1441149279.23,1424141543.44,688251396.47,244811511.2,332164480.25,217271733.539
"UNITED LAUNCH ALLIANCE","Multi-Awd.",,,133597504,932014.1875,10676999,199648568,193481745,324328504,347742222,305989005,167080500,296720345,212693075,275846019,85292104,40676271,10903485
"UNITED LAUNCH ALLIANCE","Pur. Order",,,,,,,,,,63417,103462,103462,205909,,0,1e+05,
"UNITED LAUNCH ALLIANCE","Single-Awd.",,,,,,,,,,,,,,330324664,392379350,749757947.75,829492703.5
"Virgin Orbit","Multi-Awd.",,,,,,,,,,,,,,35050000,2249791,0,-210426
