"ParentID","PricingUCA","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"ABL Space","FFP",,,,,,,,,,,,,,2300000,750000,1499952,17054988
"BLUE ORIGIN","FFP",,,,,,,,,,781920,664628.461,1372059.9649,3921984.9752,233091938.1484,280500432.5996,17454119,440844387.61
"BLUE ORIGIN","UCA",,,,,,,,,,,,,2563028,,,,
"BLUE ORIGIN",,,,,,,,,,,0,,0,,0,,,
"BOEING","Combination/Other",,26971550.4531,14811802.41,-1269624.5,0,28000,1500,0,,,,-7191.8301,-1500,,6796.04,,
"BOEING","FFP",170319478.69,97102473.9492,80618989.01,152141296.8008,477479788.3125,1182058614.9062,73869359.32,78739606.75,125991628.4,208293397.7656,201981021.625,274371982.6512,237044392.44,357138616.52,70878544.82,3363473.975,62428924.5156
"BOEING","Incentive",-54930,263279994.89,337396683.94,415455577.6075,129331995.9805,132129996,183690328.96,42445949.84,47563843.6,24520033.25,37258970.0195,15671446.04,42412988.07,78185244.11,98172644.21,77181640.79,293633833
"BOEING","Other CB",821059756.57,1252453851.6296,751503820.23,922203425.1367,1134707371.956,1048199344.5023,1330459375.2174,1253022857.0094,1292956275.96,1400704067.8284,1380169658.4981,1566111575.0999,1384534366.4599,1217875493.179,1466971218.1816,1285906543.255,1169609557.8381
"BOEING","Other FP",0,0,,1711142.3281,3185417.93,,0,,,,,,,-22374.55,,,
"BOEING","T&M/LH/FPLOE",549835,,,,,,,,,,,,,,,,
"BOEING","UCA",457353376.5,660562740.48,367739756.97,25619388.8125,25380377.043,48812396.3029,49909507.79,-2751581.7,,-164259.6875,0,0,397305390.8,244301458,93689322,330379654,92489647
"BOEING",,,0,-77686.25,14000,-14000,0,0,0,0,10000,0,-10000,0,0,0,0,0
"Firefly Aerospace","FFP",,,,,,,,,,,,,25000,,49899250.5,37869252,94871677
"NORTHROP GRUMMAN","Combination/Other",7357502,31206373,23180299.1,,-148003.1719,,-702525,,,,,,,,,,
"NORTHROP GRUMMAN","FFP",21225117,10093642,68229.04,4675360.25,3431320.7466,16353975.5938,12039471.46,1719803.08,7344698.29,24539982.5625,8692305.48,6664695.4,565799207.36,777171761.97,787888801.54,777471731.975,784946561.247
"NORTHROP GRUMMAN","Incentive",33329299.23,54989794.39,73014184.01,159853580.156,160937715.3769,205980192.7266,198486895.06,202051135,65389605.7996,132900049.6279,130503725.125,170865594.09,273691707.3624,337158090.2531,344225677.72,598168173.12,1055389835.6438
"NORTHROP GRUMMAN","Other CB",910946875.6203,1044691150.2403,1101622625.3068,1041616642.8904,570035639.1719,434441318.0342,448019866.23,466186926.75,452102073.1108,487376581.2573,482064541.7425,396065326.53,734721275.1658,686289679.6022,493901620.6498,250032039.7094,176631012.8248
"NORTHROP GRUMMAN","Other FP",,,,,,,,,,,,,-31083,,,,
"NORTHROP GRUMMAN","T&M/LH/FPLOE",-101681,69977.99,2e+05,499077,,,,,,-2351.05,,,,,,,
"NORTHROP GRUMMAN","UCA",325550076,273945855.13,42626978.7498,52074784.5312,13955028.49,5200000,0,0,0,,0,72848520.22,7457826.48,1.2e+08,50800000,0,
"NORTHROP GRUMMAN",,45000,3150888,1338349,60000,0,-30000,0,0,0,10000,-10000,0,0,0,0,0,0
"RUSSIA SPACE AGENCY","FFP",100040612,199782273,387192261,341238820,414009402.3398,586488883.3809,285001263,312278472.29,459872927.3633,235823637.5215,254927244.2813,127459133.88,184529617.64,136408443.41,3413944.54,2504481,6014852
"Rocket Lab","FFP",,,,,,,,,3124964,3925000,0,6530871,0,9912639,1548010,371000,15227350
"SPACEX","FFP",,4020000,25657217.65,115342392,194582177.51,256277026.8,594242502.1,497433902.9,642805700.06,1038028720.85,1082847866.84,967134868.59,1288676659.51,1137212359.82,2193334723.9138,2848207580.7275,3109331653.0893
"SPACEX","UCA",,,,,,,,,,,,,0,,,,
"SPACEX",,,,,,,,,,,,,,,,0,0,0
"UNITED LAUNCH ALLIANCE","FFP",,106995229,489057783.17,293642247.9016,344187162.4463,424769480.458,1047765865.02,1788222569.75,1185194749.28,833670429.9219,1416736500.5503,960365522.57,1146721665.04,1323687619.17,704397397.28,1123360609.94,1066848686.4453
"UNITED LAUNCH ALLIANCE","Incentive",,,,,348453092.9375,802349620,550812414.37,986936527.5586,846026757.67,297152011.3447,681954144.97,492143211.08,413159641.7,-32870222,-12507367.31,-661910.94,-9015999.5
"UNITED LAUNCH ALLIANCE","Other CB",,,930498285.54,1000364372.4453,751729852.6761,42615086.7304,31032806.93,72260108.6875,65224430.08,6191921.5177,39361860.5,40155062.57,77159220.7,3604682.3,22085533.66,,-164764.9063
"UNITED LAUNCH ALLIANCE","T&M/LH/FPLOE",,,,,0,1670245.875,,,,,,,,,,,
"UNITED LAUNCH ALLIANCE","UCA",,,1.38e+08,124419647,431706500,1468550000,-82374996,36352549,,715576545.5,111191336,245369272.01,,,8926237,,
"Virgin Orbit","FFP",,,,,,,,,,,,,897869.52,35350000,2249791,0,-210426
