"SpaceParentID","TopProject","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"ABL Space",,,,,,,,,,,,,,,2300000,750000,1499952,17054988
"BLUE ORIGIN",,,,,,,,,,,781920,664628.461,1372059.9649,6485012.9752,233091938.1484,280500432.5996,17454119,440844387.61
"BOEING","EELV",76061909.04,751834383.55,23973127.15,,782731,,,,,,,0,,,,,
"BOEING","MUOS",,,14711802.41,,,,,,,,,,,,,1039440.375,507025.5156
"BOEING","NAVSTAR GPS",130104154,101712609.77,71474948.01,151319823.625,25245661.3437,45607537.8349,68341872.96,70970481,64422175.44,54249089.7656,-4150493,-760185.7188,,-22374.55,,,
"BOEING","Other Labeled",180100000,163271103,89851941,,926856,331905,,,-15186860.31,5e+06,993786,0,,29447172,,,
"BOEING","WIDEBAND GAPFILLER",395839356,284315394.32,286935392.02,219909849.42,532663168.3359,1147341335.6466,49513492.84,-32128470.02,23912731.41,80177583.3125,60417082.0195,11517217.82,329800799.62,321677960.52,78277731.03,9325808.13,59066731.125
"BOEING",,667122097.72,999237120.7619,1065046155.72,1144645533.1406,1210452534.5424,1217947573.2299,1520074705.4874,1332614820.9194,1393363701.42,1493936566.0784,1562149275.1231,1845380779.8598,1731494838.1499,1546375679.289,1651440794.2216,1686466063.515,1558588205.7131
"CALIFORNIA INSTITUTE OF TECHNOLOGY","Other Labeled",6646526,1272574,,,,,,,,,,3149717,3501123,3350000,,,
"CALIFORNIA INSTITUTE OF TECHNOLOGY",,1722619954.6193,1780405273.6444,1738681674.7009,1653348261.8514,1629652202.9522,1671519359.4695,1709066992.4399,1717744631.47,1855991704.4418,2138632543.5039,2351964282.7874,2707622873.0436,3027938816.0944,2815013191.4254,2353682832.1706,2648084317.1606,2915419456.0369
"Firefly Aerospace",,,,,,,,,,,,,,25000,,49899250.5,37869252,94871677
"JOHNS HOPKINS UNIVERSITY","Other Labeled",2580829,60000,,,,,,-9520.45,,,,,,,,,
"JOHNS HOPKINS UNIVERSITY",,100668229,167520283.17,241065205.4123,205884077.4042,169763126.1685,189606407.2844,165577355.68,160650471,212985656.1202,226347549.1118,160823866.1765,287713993.9898,208584822.3478,320076010.3997,272014788.0946,390672453.4216,507034415.4493
"LORAL SPACE","Other Labeled",,,,,2136595,,,,,,,,,,,,
"LORAL SPACE",,55196033.64,0,87093144.98,27694819.0925,29568402.6406,12766835.385,125848.59,,0,,,,,,,,
"MAXAR TECHNOLOGIES",,,,,,,,,,,,,22325557,226862403.43,123580406.37,93644007.2,206959374.25,185665893
"MDA",,27500,-1458.35,1458.35,990000,1822031.3125,558406.6875,4150000,7076942.34,0,1166012.97,23933409,249996,,,,,
"NORTHROP GRUMMAN","EELV",,,,,112150,,,,,,,,,,,,
"NORTHROP GRUMMAN","MUOS",,,,,,,,,,,,,,,,1182512.375,
"NORTHROP GRUMMAN","NAVSTAR GPS",12060670,106916499,94141642.72,5099953,-1350000,-267198.7813,-85803,-21987,,,,0,,,,,
