"SpaceAreaEELV","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Other EELV",309254818.7038,1147075985.8231,1167606179.3669,1139892638.6984,1675030602.3354,2460436023.9666,250034212.66,140279993.9,47365917.62,59400216.9697,36283233.6627,35595763.5626,75007370.283,49080065.8672,70969834.1804,163993716.7,164926106.7196
"R&D (All Other)",,,,341238820,414009402.3398,586488883.3809,285001263,312278472.29,459872927.3633,235823637.5215,254927244.2813,,,,,,
"R&D (Space Flight)",975475991.2049,1915017437.1806,2305491160.2593,2292465056.1498,2286861307.1681,2642026331.0978,2800577532.1674,2964354216.5603,2930413702.3671,3393395403.5167,3197218276.564,3418760075.1201,3781991558.9741,4467858295.3134,4787388888.3689,5873246732.3775,7751849326.3558
"Space Transp. and Launch",293347183.4375,339571683.5612,390910460.6796,611640428.7266,823966164.9977,901080300.433,2054850608.75,3711964570.9961,3053001306.6255,3305766639.0443,3630057586.4552,3384076634.8991,3701879732.2638,3228128670.1959,2973032816.0202,3636923172.062,3740449498.4318
"Space Vehicle Launchers",477291662.49,488439519.71,629337280.7402,688698068.4599,454503537.4415,310795607.791,185879285.73,231762327.12,247722111.2497,245659072.1076,263967169.9062,25575.1401,285000,,129277.6699,,
"Space Vehicle Services",100040612,199782273,387192261,,,,,,,,,127459133.88,184529617.64,136408443.41,3413944.54,2504481,6014852
