"SubCustomer.JPO","SubCustomer.sum","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Air Force","Air Force",1127793,207888971,365464460,377935078,405381778,487275573,558452996,662973204,692498125.1978,916210803.7971,1309490875.2394,1165868160.5527,1109340831.8532,3861730200.4073,4053202367.5623,3749250725.6637,3395172894.6922,3153782323.2376,2175509335.3682,1477560048.7244,1353137321.8744,1436834876.1808,1390434567.7127,65654799.1289,186895919.2877,61783386.16
"Army","Army",,,,,,57606904,49730914,305929119,766822464,866185532.13,862439853.87,858788565.5782,1156892509.1462,1350458517.9082,1226547271.8394,1053171259.02,1197051872.98,847947692.38,624382237.0284,605023324.5675,570374012.71,709634477.25,630789803.1492,530317461.85,456442759.4,319848962.15
"COAST GUARD","COAST GUARD",,,,,,,,,,,,2631973.0823,2145565.7727,1834156.39,1997579.77,1319053.53,119624,-215025,,,,,,,,
"DLA","Other DoD",,,,,,,7085,28554476,607952,96788182,85726588.7188,207338474.9382,39170618.8718,8456729.5628,,46503363.95,311870020.8873,486428675.39,966871451.4004,965007999.5683,621827739.75,1096875089.9369,823630809.4617,831560132.3671,954457231.5314,387471513.93
"F-35 JPO","Navy",,,,,,,,,,,,,,,,,,,293949125.2604,331202097.24,426319877.96,761058730.66,665336014,857486313,881286731.84,1125536345
"Navy","Navy",16038300,53234308,128919926,77973340,627941990,979503334,628308364,850265535.2188,991786827.8399,1070733768.2666,911664540.1485,1186563781.502,1092105007.4038,1026571674.8666,1491857831.4038,1138508787.7051,1319532657.6791,1042502727.6991,1178125270.2075,1301438099.1274,1652010522.9923,1760025555.1046,2012720767.9732,1623959948.6748,1591369838.6751,1685200962.37
"Other DoD","Other DoD",,,,,,,,,626468.0996,201044.2582,863428.9388,-15988644.4396,-4588218.2536,57690887.8682,57747659.5576,59455584.76,14992058.4847,19295883.0746,2104462.8715,60724157.8012,-70093469.059,-55612558.3816,-64426865.8824,-75823765.1392,-54718136.1973,-90297973.44
"Treasury","Treasury",,,,3456000,,,,,,,,,,,,,,,,,,,,,,
