"SubCustomer.JPO","SubCustomer.sum","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Air Force","Air Force",17828000,8164000,8028480,8852351,10847718,8960308,4793648,2306089,7701599,3025558,4027864,17858716,16735278,141113735,62486459,87201065,41866388.63,7983287.809,19071299.4846,16126535.0308,12870923.2601,13858081.4868,15737768.1748,11142180.3772,12929291.4684,16943747.3337,26690886.2672,21273496.7347,19979049.5782,23093847.7484,18575963.4375,17490848.1324,18381735.499,83984992.019,94133040.52,38356750.77
"Army","Army",104426000,70978000,177184855,113353959,82447656,84166972,100032537,113002458,137461486,158850646,65831080,107493408,140421826,171196518,143866947,223091196.7793,239646309.2816,218840886.5495,335604048.1476,395633867.7776,343451927.8346,209898600.843,281926353.8444,220104794.2794,181749946.6075,179503548.9968,300940645.3871,274189056.41,347847182.6919,335660976.3571,520191696.7569,484256352.9265,619184301.4783,953837882.5366,898634833.77,419587228.99
"DLA","Other DoD",46936000,115595000,71009946,62645418,65129909,68374207,71701930,58439785,79801236,70471696,62388968,76420916,111124824,125805033,160196579,213782631,299197006,363504319.1399,380544997,627653328.869,1091902382.9893,1209071842.1571,1448155298.9258,1459873431.0666,1510300316.4786,1776621425.6406,2007131448.2606,2607598291.0049,4431070388.7343,4875853469.5004,4494851002.1243,4058865645.1578,4732538296.37,6034833690.7299,6691575277.28,2440201133.43
"Navy","Navy",10522521493,9324205712,8353975661,9347877210,7248169983,9484538438,7775939793,10476108627,11302605837,10411264984,9152428657,12161819588,12393898433.9298,12213194879.0506,14456188433.2681,13481692276.8459,16213340089.7949,16605997153.1747,18517405025.1443,20342946070.0927,15965855491.4292,26807822297.9515,21909093110.3329,21353594262.5979,21998883677.7849,19398395703.9341,22212282767.1485,24220953441.582,26475612129.6516,28061539305.4378,35204095176.5566,27627379656.385,29345132771.6431,33367224686.0951,31905821912.5409,18656916360.35
"Other DoD","Other DoD",,181000,855084,13964534,2114380,23462815,33684516,43190615,65846767,32976050,71145194,40734660,33370981,21328890,20083296.9502,34671062.5,25154120.4687,57150582.9409,101065429.3636,120002305.8802,146351910.3823,147992944.8167,167880119.5714,103795695.2686,123272944.8904,112641299.4093,120772361.465,136024725.6634,126124923.0039,102938034.9561,93442045.408,38687335.3968,22920379.8815,41916296.0175,60359163.63,3612779.05
