"TopPStext","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"AIRCRAFT CARRIERS",236031048,4036653514,619399425,42073921,506211043,805665474,1960642034,1146811935,2736080711.6011,2633709562.5286,2138004181.4523,2008286262.861,1465481792.8959,744343385.34,1199617768.69,1160567035.5253,629728691.25,346672073.3803,167224449.3125,27340188,45034823.4063,36354359.7969,70036501.125,6111804
"AMPHIBIOUS ASSAULT
SHIPS",1085679752,482944737,1041893262,717676811,1289849954,719493281,3283530742,2558642289.9063,2157786982.5,1501389384,267208724.5,1843218030.625,3852766590.4609,1665530494.59,140540939.08,166687719.8663,861262468,109635415.4219,39211623.3438,10944096,2716871.4219,22632439,-973045.9531,
"COMBAT SHIPS AND
LANDING VESSELS",,,,185965,16980,123229,53007878,77877489.38,134812065.8161,1131116249.7867,323742487.1949,2405125788.1859,2741337892.0989,6721858916.65,10219566930.42,8822111956.395,9938943123.8612,13317946229.8101,14467924228.5537,15168969466.6386,24066835420.3242,15819704301.7288,15909335236.8888,13657972905.1128
"DESTROYERS",1189569549,813477234,1405618159,1320567364,1724045610,1897778247,450603267.4063,1277829341.6563,1071278624.2969,637297593.939,181273596.9976,5839462007,1032156899.9375,463362600,-16199417.19,97476803.77,235074025.33,169793717.625,125674202.6951,45167308,71656528,2157784,-20036115.875,-402984
"MAINT-REP OF
SHIPS-SML
CRAFT-DOCKS",602163933,1842155074,1470709043,240221298,489357549,511856377,362603014.8106,1127250359.2338,983648719.5714,788409220.1498,324299380.4726,348788516.6656,257673052.2817,201220003.93,176566709.98,135635171.8447,187376458.8038,387318464.1328,338614572.7675,540843653.1345,410361243.0523,394143533.6929,415429716.0781,207885870.9824
"MARINE LIFESAVING &
DIVING EQ",21418403,31054879,51280113,49740455,71831035,148217406,183313023.4316,270926690.529,211193748.0655,309643328.7118,733968398.6469,700148198.2618,979309620.2771,842367464.5034,823762347.3435,1033622161.2663,1194280668.2992,1731540139.5248,3316182275.5912,3899664765.5005,3817812205.3736,3421947710.6928,4144764422.1977,2423980982.3908
"NON-NUCLEAR SHIP
REPAIR (EAST)",634348033,616906640,602488226,1081353465,812227386,657737102.6854,914049065.8473,941310944.5109,927513717.8748,961417748.5831,1201640294.1374,1384456111.1377,1351077536.0448,1419903149.7034,1577237698.4815,1321827989.0013,1574152037.7786,1450246460.7608,2316644350.6915,1608832975.6317,1843890788.525,1843569361.647,1672112727.1595,1459360912.3014
"NON-NUCLEAR SHIP
REPAIR (WEST)",482218841,547576266,647735758,682224127,602382356.375,756329836.3019,596050956.3716,686789813.7897,607600772.2739,911272674.8262,919121832.1143,1200325135.9174,1340303073.7906,1106323464.9356,1354418441.9917,1460781667.5604,1172175037.418,1066772488.9373,1746187480.1071,1753122702.9697,2033087616.6515,1790048004.2467,1597905953.3138,1056899192.4422
"NUCLEAR REACTORS",750027402,372285256,218594372,680943286,477599459,155070606,859220907.0438,865854029.9539,1514798800.3875,1895340342.5674,1710142845.9383,2694383773.2332,2517605300.7244,2464465149.34,2104992374.22,2792672012.5006,2581067178.0723,3151560888.7541,2586697662.0045,3489323062.5131,3131610408.2982,3474392048.7558,3898703039.9926,2872461369.1517
"Other Labeled PSC",3241769160,3590899388,5986056553.9302,5498145365.0506,6283546704.2886,6155650284.1433,5923255545.4254,6183080910.4817,6731646893.5564,6834872895.5357,5777988913.6845,5164896685.6193,4345133343.9944,3732630593.3085,4030285438.5028,3781567578.385,5455819942.2648,4520134234.0561,5153895419.7945,6364562330.0635,4384968209.9923,3697276523.68,6009592010.6785,882819464.4548
"SHIP AND BOAT
PROPULSION
COMPONENTS",799381447,-163730449,322018341,495241183,662918485.5,254561498,519059687.7232,244405488.8304,369723021.1117,613004300.5116,766892525.0278,610584703.0686,500766683.6852,802752448.6,565019323.22,567665379.7937,546997271.0268,862655627.3651,959775282.2565,284350417.6854,203043760.2614,1347749661.3728,611215056.8809,93147879.0459
"SUBMARINES",313214195,234104754,329758136,1864265768,1922835145,1979860620,1713867759.43,1871715663.8371,1907001436.654,3284021214.2525,3217906752.878,4189896050.9578,3439905749.7264,2886520856.36,1651617818.33,137593597,275782321.66,93641625.332,91699758.5,112680691,72284831,111168513,75388998.6328,0
,0,,,,,,,,,,,,,,,,,,,,,,,
