"Vehicle.AwardTask","Vehicle.sum7","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Award","Definitive",,,,,,,,,,,8265639486,11222966166,11120140626,10540513074,12818877326.5156,11598110708.5245,14102583252.3517,14500076462.1738,16553847794.1065,18661733716.402,13967338487.0003,24577714669.5493,19844126584.3259,19321922682.4328,19853932889.6631,17542827513.9945,20149476609.3658,21828433698.5253,23361267665.8085,25212313739.8772,32014124074.1493,24085635254.2797,25630831552.3427,17760662762.3544
"Award","Pur. Order",,,,,,,,,,,128306121,146068198,199804095.9004,252967277.01,256300483.3297,329764593.6109,353801647.9729,347617661.2713,429847100.4329,450976954.2315,520575140.2767,601220689.2413,570171648.0302,603292186.9749,734616182.8559,756785456.2461,789486829.6154,805332404.5743,1053187865.5391,979219338.8192,696309278.4826,817030689.018,997392353.2473,108655578.0499
"Task Order","BOA or BPA",,,,,,,,,,,6338932,3668769,3036643,1170677,3702,,,,,,56409823.1518,250065008.9206,381304486.5243,480540808.8799,643651442.0328,718208530.6321,667404355.4719,629344893.2809,829836926.9361,701016324.3303,577597002.7029,570758528.3878,625095019.9544,142246961.3464
"Task Order","FSS or GWAC",,,,,,,,,,,32523679,56035838,118921417,119266440,134696725,109713900.0935,133357334.7812,212214642.033,170544365.131,195375550.9643,131941268.3299,94382657.1387,152329909.3883,56836161.9164,57855391.4834,33431187.7537,18375603.5163,12853616.411,16425608.077,41579470.835,26540799.9291,24438506.002,13669433.5681,8297662.8575
"Task Order","Multi-Awd.",,,,,,,,,,,124083067,102877275,131319695,303568109.1104,341229471,496105422.2316,779178032.1475,609435905.6012,635615279.8952,599581960.0733,874308123.0461,904116064.0669,793595992.8994,719807686.7205,830181982.2714,537231108.3566,707789483.891,1130270922.0799,1700609509.1899,1383347471.8993,1561385244.7797,3919265108.5473,5235460904.853,2159652686.9528
"Task Order","Single-Awd.",,,,,,,,,,,792136941,871079231,1120969379.0298,1464312729.9302,1289854915.3183,1508419219.6701,1450200011.2365,1582425417.3198,1563229550.5037,1593823433.7213,2011188756.3825,1961892673.1586,2081826812.5887,1867039154.4264,1706797661.9929,1888932509.5129,2320080315.9824,2801513021.4291,4348403730.0673,4988325311.376,5207346306.2631,2544016155.3789,1881025237.1541,533057615.5018
"Task Order","Unlbd. IDV",,,,,,,,,,,6793537,1631816,1359533,-9159299,1859084,230117,83603,724868.71,1403.64,2900,428334.8573,179501.4579,162102.161,1839845.91,390822.77,792766.4127,46025.9219,168808.7998,,,,,,
,,10680657493,9512770712,8600082026,9502770472,7389026646,9654356740,7969628348,8340521642,9369233233,8320132027,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0
